durations;datelimits
395;2018-04-18/2019-05-18
24;2017-11-28/2017-12-22
30;2017-10-22/2017-11-21
16;2017-09-18/2017-10-04
28;2017-07-13/2017-08-10
7;2017-06-13/2017-06-20
5;2017-06-07/2017-06-12
9;2017-05-22/2017-05-31
4;2017-03-24/2017-03-28
5;2017-04-13/2017-04-18
6;2017-01-27/2017-02-02
9;2017-02-06/2017-02-15
10;2017-01-09/2017-01-19
25;2016-12-12/2017-01-06
9;2016-10-19/2016-10-28
11;2016-09-09/2016-09-20
8;2016-06-30/2016-07-08
11;2016-06-06/2016-06-17
8;2016-05-06/2016-05-14
17;2016-01-26/2016-02-12
12;2016-01-14/2016-01-26
16;2015-12-20/2016-01-05
14;2015-07-28/2015-08-11
16;2015-07-07/2015-07-23
