dev;sleepings;hibernatings;deads
drewrygh;[14, 9, 286];[38, 19, 10, 14];[873]
manucorporat;[30, 31, 25, 39, 27, 31, 98, 31, 14, 9, 23, 10, 9, 54, 66];[34, 7, 20, 22];[]
tlancina;[21, 102, 57, 41, 23, 77];[13, 12, 250, 86, 73];[437]
camwiegert;[40, 22, 10, 8, 25, 22, 27];[122, 24, 36, 48, 9];[]
danbucholtz;[47, 77, 49, 84, 56, 120, 278];[83];[]
brandyscarney;[4, 5, 5, 4, 4, 7, 9, 8, 12, 13, 8, 14, 10, 15, 12, 13, 23, 7, 9, 22, 13];[6, 10, 12];[]
kensodemann;[26, 30, 48, 19, 29, 76, 35];[];[]
mlynch;[24, 22, 41, 110, 58, 116, 225, 449];[16];[]
jgw96;[68, 31, 28, 30, 255, 99, 76, 162];[127];[]
adamdbradley;[9, 9, 4, 3, 3, 7, 20, 21, 18, 31, 26, 29, 23, 22, 19, 51, 98];[6, 3, 3, 5];[]
mhartington;[39, 22, 42, 76, 56, 62, 24, 20, 22, 22, 57, 50, 77];[21];[]
jthoms1;[96, 200, 82];[76];[]
perrygovier;[195, 48, 37, 20, 57, 55, 92, 84];[37, 120];[396]
