"[94, '2015-06-08/2015-09-10']","['sot', 94, '2015-06-08/2015-09-10']"
"[34, '2015-05-05/2015-06-08']","['sot', 34, '2015-05-05/2015-06-08']"
"[31, '2015-09-10/2015-10-11']","['sot', 31, '2015-09-10/2015-10-11']"
"[47, '2015-10-15/2015-12-01']","['sot', 47, '2015-10-15/2015-12-01']"
"[9, '2015-12-28/2016-01-06']","['sot', 9, '2015-12-28/2016-01-06']"
"[9, '2016-03-01/2016-03-10']","['sot', 9, '2016-03-01/2016-03-10']"
"[13, '2016-03-10/2016-03-23']","['sot', 13, '2016-03-10/2016-03-23']"
"[26, '2016-07-19/2016-08-14']","['sot', 26, '2016-07-19/2016-08-14']"
"[30, '2016-11-18/2016-12-18']","['sot', 30, '2016-11-18/2016-12-18']"
"[21, '2016-10-23/2016-11-13']","['sot', 21, '2016-10-23/2016-11-13']"
"[19, '2017-01-20/2017-02-08']","['sot', 19, '2017-01-20/2017-02-08']"
"[67, '2017-06-15/2017-08-21']","['sot', 67, '2017-06-15/2017-08-21']"
"[36, '2017-08-27/2017-10-02']","['sot', 36, '2017-08-27/2017-10-02']"
"[160, '2017-10-03/2018-03-12']","['sot', 160, '2017-10-03/2018-03-12']"
"[45, '2018-03-17/2018-05-01']","['sot', 45, '2018-03-17/2018-05-01']"
"[57, '2018-05-01/2018-06-27']","['sot', 57, '2018-05-01/2018-06-27']"
