durations;datelimits
145;2019-01-26/2019-06-20
77;2018-11-10/2019-01-26
75;2018-08-09/2018-10-23
184;2018-02-06/2018-08-09
164;2017-08-26/2018-02-06
53;2017-03-04/2017-04-26
49;2016-11-30/2017-01-18
147;2016-07-06/2016-11-30
251;2015-09-22/2016-05-30
23;2015-08-28/2015-09-20
33;2015-05-05/2015-06-07
29;2015-03-07/2015-04-05
45;2014-11-09/2014-12-24
33;2014-09-28/2014-10-31
28;2014-08-30/2014-09-27
18;2014-06-09/2014-06-27
27;2014-03-16/2014-04-12
33;2013-11-01/2013-12-04
45;2013-09-07/2013-10-22
40;2013-07-29/2013-09-07
98;2013-03-15/2013-06-21
71;2013-01-03/2013-03-15
