id,date,event,creator_login
19497324,2012-07-06 15:31:18,subscribed,miloops
23405684,2012-08-27 06:45:26,mentioned,miloops
23405685,2012-08-27 06:45:26,subscribed,miloops
23421075,2012-08-27 12:40:16,closed,miloops
725386,2011-05-17 21:09:34,subscribed,miloops
724886,2011-05-17 20:49:43,subscribed,miloops
548058,2011-05-06 20:45:51,mentioned,miloops
548059,2011-05-06 20:45:51,subscribed,miloops
548258,2011-05-06 20:59:36,mentioned,miloops
258590,2011-04-15 02:09:15,subscribed,miloops
258567,2011-04-15 02:04:17,subscribed,miloops
128935,2011-04-03 23:24:53,subscribed,miloops
410253,2011-04-27 14:03:01,subscribed,miloops
409997,2011-04-27 13:42:39,subscribed,miloops
484818,2011-05-03 04:07:41,mentioned,miloops
410095,2011-04-27 13:51:52,subscribed,miloops
