"[20.0, '2016-09-09/2016-09-29']","['sot', 20, '2016-09-09/2016-09-29']"
"[12.0, '2017-01-24/2017-02-05']","['sot', 12, '2017-01-24/2017-02-05']"
"[14.0, '2017-02-09/2017-02-23']","['sot', 14, '2017-02-09/2017-02-23']"
"[22.0, '2017-06-15/2017-07-07']","['sot', 22, '2017-06-15/2017-07-07']"
"[18.0, '2017-07-20/2017-08-07']","['sot', 18, '2017-07-20/2017-08-07']"
"[18.0, '2017-11-16/2017-12-04']","['sot', 18, '2017-11-16/2017-12-04']"
"[20.0, '2018-02-01/2018-02-21']","['sot', 20, '2018-02-01/2018-02-21']"
"[26.0, '2018-04-02/2018-04-28']","['sot', 26, '2018-04-02/2018-04-28']"
"[122.0, '2018-04-28/2018-08-28']","['sot', 122, '2018-04-28/2018-08-28']"
"[78.0, '2018-08-29/2018-11-15']","['sot', 78, '2018-08-29/2018-11-15']"
"[47, '2018-11-15/2019-01-01']","['sot', 47, '2018-11-15/2019-01-01']"
