"[117.0, '2014-10-12/2015-02-06']","['sot', 117, '2014-10-12/2015-02-06']"
"[75.0, '2015-04-06/2015-06-20']","['sot', 75, '2015-04-06/2015-06-20']"
"[102.0, '2015-10-24/2016-02-03']","['sot', 102, '2015-10-24/2016-02-03']"
"[28.0, '2016-02-07/2016-03-06']","['sot', 28, '2016-02-07/2016-03-06']"
"[28.0, '2016-03-09/2016-04-06']","['sot', 28, '2016-03-09/2016-04-06']"
"[12.0, '2016-05-13/2016-05-25']","['sot', 12, '2016-05-13/2016-05-25']"
"[15.0, '2016-07-26/2016-08-10']","['sot', 15, '2016-07-26/2016-08-10']"
"[43.0, '2016-08-10/2016-09-22']","['h', 26, '2016-08-10/2016-09-05']","['sot', 17, '2016-09-05/2016-09-22']"
"[50.0, '2016-12-04/2017-01-23']","['sot', 50, '2016-12-04/2017-01-23']"
"[299.0, '2017-06-20/2018-04-15']","['sot', 299, '2017-06-20/2018-04-15']"
"[31.0, '2018-05-12/2018-06-12']","['sot', 31, '2018-05-12/2018-06-12']"
"[39.0, '2018-07-11/2018-08-19']","['sot', 39, '2018-07-11/2018-08-19']"
