"[316, '2014-09-11/2015-07-24']","['h', 254, '2014-09-11/2015-05-23']"
"[442, '2015-09-21/2016-12-06']","['sot', 442, '2015-09-21/2016-12-06']"
"[54, '2014-06-29/2014-08-22']","['sot', 54, '2014-06-29/2014-08-22']"
"[59, '2015-07-24/2015-09-21']","['sot', 59, '2015-07-24/2015-09-21']"
"[19, '2014-08-23/2014-09-11']","['sot', 19, '2014-08-23/2014-09-11']"
"[9, '2017-06-07/2017-06-16']","['sot', 9, '2017-06-07/2017-06-16']"
"[8, '2017-10-26/2017-11-03']","['sot', 8, '2017-10-26/2017-11-03']"
"[75, '2017-11-22/2018-02-05']","['sot', 75, '2017-11-22/2018-02-05']"
"[4, '2018-07-12/2018-07-16']","['sot', 4, '2018-07-12/2018-07-16']"
"[4, '2018-08-31/2018-09-04']","['sot', 4, '2018-08-31/2018-09-04']"
"[6, '2018-09-21/2018-09-27']","['sot', 6, '2018-09-21/2018-09-27']"
"[4, '2018-10-19/2018-10-23']","['sot', 4, '2018-10-19/2018-10-23']"
"[8, '2018-11-19/2018-11-27']","['sot', 8, '2018-11-19/2018-11-27']"
"[8, '2019-05-17/2019-05-25']","['sot', 8, '2019-05-17/2019-05-25']"
"[14, '2019-06-06/2019-06-20']","['h', 12, '2019-06-06/2019-06-18']"
