id,date,creator_login
200526170,2018-07-06 00:56:01,simurai
200525195,2018-07-06 00:47:36,simurai
200524716,2018-07-06 00:42:52,simurai
200524605,2018-07-06 00:41:51,simurai
199983011,2018-07-04 00:30:57,50Wliu
175642355,2018-03-20 02:47:38,50Wliu
143878377,2017-10-10 23:21:51,damieng
143867396,2017-10-10 22:15:22,damieng
143866933,2017-10-10 22:12:41,damieng
103118361,2017-02-26 22:02:52,50Wliu
103084061,2017-02-25 17:59:53,50Wliu
86069041,2016-11-02 03:43:59,thomasjo
86057360,2016-11-02 01:03:07,mnquintana
86042628,2016-11-01 22:53:37,nathansobo
86042345,2016-11-01 22:51:34,nathansobo
86041675,2016-11-01 22:46:40,mnquintana
72809773,2016-07-29 15:20:43,nathansobo
72732162,2016-07-29 01:48:10,mnquintana
72668191,2016-07-28 17:46:49,mnquintana
72651630,2016-07-28 16:06:35,nathansobo
72545632,2016-07-27 23:59:25,mnquintana
72545582,2016-07-27 23:58:51,mnquintana
72545268,2016-07-27 23:56:03,mnquintana
72540949,2016-07-27 23:12:03,nathansobo
72540903,2016-07-27 23:11:32,nathansobo
72540845,2016-07-27 23:10:58,nathansobo
72540785,2016-07-27 23:10:25,nathansobo
72540773,2016-07-27 23:10:16,nathansobo
60187340,2016-04-19 08:00:28,as-cii
49642463,2016-01-13 19:59:39,joshaber
49641760,2016-01-13 19:54:30,benogle
49639036,2016-01-13 19:35:22,joshaber
49638145,2016-01-13 19:29:23,benogle
49637522,2016-01-13 19:25:25,joshaber
49636089,2016-01-13 19:16:35,benogle
49635017,2016-01-13 19:09:41,benogle
49634492,2016-01-13 19:05:51,joshaber
49633315,2016-01-13 18:57:35,benogle
49616845,2016-01-13 16:54:01,lee-dohm
49614547,2016-01-13 16:38:35,joshaber
49526295,2016-01-12 22:43:46,maxbrunsfeld
49512623,2016-01-12 21:01:11,joshaber
49510907,2016-01-12 20:48:47,maxbrunsfeld
45533160,2015-11-20 23:40:33,benogle
