id,date,event,creator_login
2402310463,2019-06-10 21:46:34,assigned,nathansobo
2402311720,2019-06-10 21:47:14,unassigned,nathansobo
1206817027,2017-08-15 17:02:37,mentioned,nathansobo
1206817029,2017-08-15 17:02:37,subscribed,nathansobo
1169455339,2017-07-19 02:25:37,referenced,nathansobo
1169455340,2017-07-19 02:25:37,merged,nathansobo
1169455343,2017-07-19 02:25:37,closed,nathansobo
1169455364,2017-07-19 02:25:39,head_ref_deleted,nathansobo
985741089,2017-03-03 17:20:23,mentioned,nathansobo
985741090,2017-03-03 17:20:23,subscribed,nathansobo
838891319,2016-10-27 16:33:59,mentioned,nathansobo
838891321,2016-10-27 16:33:59,subscribed,nathansobo
731750547,2016-07-22 13:31:47,subscribed,nathansobo
730233238,2016-07-21 10:59:06,mentioned,nathansobo
730233239,2016-07-21 10:59:06,subscribed,nathansobo
730233242,2016-07-21 10:59:06,subscribed,nathansobo
725252986,2016-07-16 17:45:29,mentioned,nathansobo
725252987,2016-07-16 17:45:29,subscribed,nathansobo
725252988,2016-07-16 17:45:29,subscribed,nathansobo
728766869,2016-07-20 10:08:29,mentioned,nathansobo
728766871,2016-07-20 10:08:29,subscribed,nathansobo
679148474,2016-06-01 23:23:42,subscribed,nathansobo
680661944,2016-06-03 03:26:29,subscribed,nathansobo
587144465,2016-03-12 00:16:40,subscribed,nathansobo
597799482,2016-03-21 21:16:10,head_ref_force_pushed,nathansobo
597892785,2016-03-21 22:38:05,head_ref_force_pushed,nathansobo
604361892,2016-03-27 06:53:02,mentioned,nathansobo
604361893,2016-03-27 06:53:02,subscribed,nathansobo
604689730,2016-03-28 00:40:00,mentioned,nathansobo
604689731,2016-03-28 00:40:00,subscribed,nathansobo
441022232,2015-10-21 01:50:58,referenced,nathansobo
430244962,2015-10-08 12:35:48,mentioned,nathansobo
430244963,2015-10-08 12:35:48,subscribed,nathansobo
440735615,2015-10-20 19:25:58,referenced,nathansobo
440735616,2015-10-20 19:25:58,merged,nathansobo
440735617,2015-10-20 19:25:58,closed,nathansobo
440735641,2015-10-20 19:26:00,head_ref_deleted,nathansobo
413626001,2015-09-18 20:47:11,referenced,nathansobo
413626002,2015-09-18 20:47:11,merged,nathansobo
413626009,2015-09-18 20:47:11,closed,nathansobo
413626036,2015-09-18 20:47:12,head_ref_deleted,nathansobo
461542242,2015-11-11 17:32:01,subscribed,nathansobo
469341323,2015-11-19 16:10:14,subscribed,nathansobo
344742691,2015-06-30 21:55:48,mentioned,nathansobo
344742692,2015-06-30 21:55:48,subscribed,nathansobo
341498848,2015-06-26 18:38:45,mentioned,nathansobo
341498849,2015-06-26 18:38:45,subscribed,nathansobo
344744533,2015-06-30 21:58:24,mentioned,nathansobo
344744534,2015-06-30 21:58:24,subscribed,nathansobo
353223024,2015-07-10 18:59:49,mentioned,nathansobo
353223025,2015-07-10 18:59:49,subscribed,nathansobo
353376430,2015-07-10 22:25:05,mentioned,nathansobo
353376431,2015-07-10 22:25:05,subscribed,nathansobo
353413197,2015-07-10 23:51:34,mentioned,nathansobo
353413198,2015-07-10 23:51:34,subscribed,nathansobo
353418637,2015-07-11 00:04:38,mentioned,nathansobo
353418638,2015-07-11 00:04:38,subscribed,nathansobo
360659879,2015-07-21 01:03:23,mentioned,nathansobo
360659880,2015-07-21 01:03:23,subscribed,nathansobo
361859996,2015-07-22 03:51:01,mentioned,nathansobo
361859997,2015-07-22 03:51:01,subscribed,nathansobo
292918514,2015-04-29 12:03:09,subscribed,nathansobo
231855149,2015-02-07 00:27:59,subscribed,nathansobo
259473142,2015-03-19 15:03:43,mentioned,nathansobo
259473143,2015-03-19 15:03:43,subscribed,nathansobo
259495094,2015-03-19 15:20:56,mentioned,nathansobo
259495095,2015-03-19 15:20:56,subscribed,nathansobo
259655274,2015-03-19 17:34:27,mentioned,nathansobo
259655275,2015-03-19 17:34:27,subscribed,nathansobo
277076659,2015-04-09 11:03:09,mentioned,nathansobo
277076660,2015-04-09 11:03:09,subscribed,nathansobo
221934833,2015-01-20 21:59:45,assigned,nathansobo
221938956,2015-01-20 22:05:38,referenced,nathansobo
221938957,2015-01-20 22:05:38,merged,nathansobo
221938958,2015-01-20 22:05:38,closed,nathansobo
221739325,2015-01-20 17:06:44,referenced,nathansobo
221739328,2015-01-20 17:06:44,merged,nathansobo
221739329,2015-01-20 17:06:44,closed,nathansobo
221938967,2015-01-20 22:05:40,referenced,nathansobo
219766082,2015-01-15 22:53:25,assigned,nathansobo
219871402,2015-01-16 03:53:48,referenced,nathansobo
219871403,2015-01-16 03:53:48,merged,nathansobo
219871406,2015-01-16 03:53:48,closed,nathansobo
221253125,2015-01-19 21:41:49,mentioned,nathansobo
221253126,2015-01-19 21:41:49,subscribed,nathansobo
216624481,2015-01-09 17:13:57,renamed,nathansobo
201678712,2014-12-03 01:51:03,mentioned,nathansobo
201678713,2014-12-03 01:51:03,subscribed,nathansobo
202078248,2014-12-03 17:17:50,mentioned,nathansobo
202078249,2014-12-03 17:17:50,subscribed,nathansobo
207937368,2014-12-15 22:07:47,mentioned,nathansobo
207937369,2014-12-15 22:07:47,subscribed,nathansobo
163235637,2014-09-09 18:26:39,referenced,nathansobo
163235638,2014-09-09 18:26:39,merged,nathansobo
163235640,2014-09-09 18:26:40,closed,nathansobo
163235662,2014-09-09 18:26:42,head_ref_deleted,nathansobo
99573493,2014-03-06 16:35:20,labeled,nathansobo
141469437,2014-07-14 22:50:51,mentioned,nathansobo
141469438,2014-07-14 22:50:51,subscribed,nathansobo
97958464,2014-02-28 23:13:54,labeled,nathansobo
