id,date,event,creator_login
1313006103,2017-10-26 23:23:11,mentioned,nathansobo
1313006104,2017-10-26 23:23:11,subscribed,nathansobo
1317420989,2017-10-30 19:32:44,assigned,nathansobo
1319437368,2017-10-31 18:45:19,referenced,nathansobo
1319437372,2017-10-31 18:45:19,merged,nathansobo
1319437393,2017-10-31 18:45:19,closed,nathansobo
1320983002,2017-11-01 13:29:37,mentioned,nathansobo
1320983006,2017-11-01 13:29:37,subscribed,nathansobo
250614639,2015-03-12 02:59:38,referenced,nathansobo
250614640,2015-03-12 02:59:38,merged,nathansobo
250614641,2015-03-12 02:59:38,closed,nathansobo
250614645,2015-03-12 02:59:39,head_ref_deleted,nathansobo
250603708,2015-03-12 02:24:35,referenced,nathansobo
250603709,2015-03-12 02:24:35,merged,nathansobo
250603710,2015-03-12 02:24:35,closed,nathansobo
250603717,2015-03-12 02:24:38,head_ref_deleted,nathansobo
201508170,2014-12-02 21:02:49,referenced,nathansobo
201508171,2014-12-02 21:02:49,merged,nathansobo
201508172,2014-12-02 21:02:49,closed,nathansobo
201508189,2014-12-02 21:02:50,head_ref_deleted,nathansobo
84260898,2014-01-04 17:37:30,referenced,nathansobo
84260899,2014-01-04 17:37:30,merged,nathansobo
84260900,2014-01-04 17:37:30,closed,nathansobo
84260905,2014-01-04 17:37:36,head_ref_deleted,nathansobo
82454476,2013-12-18 23:05:23,referenced,nathansobo
82454477,2013-12-18 23:05:23,merged,nathansobo
82454478,2013-12-18 23:05:23,closed,nathansobo
82457041,2013-12-18 23:18:28,head_ref_deleted,nathansobo
81340368,2013-12-12 21:53:44,mentioned,nathansobo
81340369,2013-12-12 21:53:44,subscribed,nathansobo
