id,date,event,creator_login
1904801910,2018-10-15 17:55:36,referenced,lee-dohm
61503951,2013-08-19 21:26:53,head_ref_deleted,kevinsawicki
61502159,2013-08-19 21:18:03,closed,kevinsawicki
61502158,2013-08-19 21:18:03,merged,kevinsawicki
1904801914,2018-10-15 17:55:37,referenced,lee-dohm
66492991,2013-09-20 19:39:26,head_ref_deleted,kevinsawicki
66489754,2013-09-20 19:20:11,closed,kevinsawicki
66489753,2013-09-20 19:20:11,merged,kevinsawicki
81291282,2013-12-12 18:40:47,closed,benogle
81289675,2013-12-12 18:34:18,referenced,benogle
81127084,2013-12-12 01:42:41,referenced,benogle
90083938,2014-01-31 23:04:35,head_ref_deleted,kevinsawicki
80862850,2013-12-11 01:15:26,closed,benogle
80862849,2013-12-11 01:15:26,merged,benogle
80862848,2013-12-11 01:15:26,referenced,benogle
87397653,2014-01-20 21:37:59,head_ref_deleted,nathansobo
87397594,2014-01-20 21:37:41,closed,nathansobo
87397593,2014-01-20 21:37:41,merged,nathansobo
87397592,2014-01-20 21:37:41,referenced,nathansobo
103676714,2014-03-19 23:51:28,closed,kevinsawicki
103673304,2014-03-19 23:37:47,assigned,kevinsawicki
103688562,2014-03-20 00:48:21,head_ref_deleted,kevinsawicki
103688557,2014-03-20 00:48:19,closed,kevinsawicki
103688556,2014-03-20 00:48:19,merged,kevinsawicki
103688555,2014-03-20 00:48:19,referenced,kevinsawicki
555440347,2016-02-18 17:51:03,closed,kuychaco
433522009,2015-10-13 01:19:30,labeled,benogle
139718267,2014-07-09 14:16:58,labeled,izuzak
156832597,2014-08-25 16:12:01,closed,kevinsawicki
139710717,2014-07-09 14:01:05,labeled,izuzak
129574392,2014-06-09 23:32:44,head_ref_deleted,benogle
129573925,2014-06-09 23:31:46,closed,benogle
129573924,2014-06-09 23:31:46,merged,benogle
129573923,2014-06-09 23:31:46,referenced,benogle
131233245,2014-06-13 16:47:16,labeled,izuzak
132410458,2014-06-17 22:10:40,closed,kevinsawicki
132406399,2014-06-17 21:58:37,assigned,kevinsawicki
132406245,2014-06-17 21:58:14,labeled,benogle
137599586,2014-07-02 20:15:56,closed,kevinsawicki
137599585,2014-07-02 20:15:56,merged,kevinsawicki
137599584,2014-07-02 20:15:56,referenced,kevinsawicki
156927730,2014-08-25 19:11:03,head_ref_deleted,benogle
156927544,2014-08-25 19:10:40,closed,benogle
156927543,2014-08-25 19:10:40,merged,benogle
156927542,2014-08-25 19:10:40,referenced,benogle
227812657,2015-01-30 21:33:23,labeled,izuzak
157082709,2014-08-26 01:26:03,closed,benogle
196955063,2014-11-21 18:53:51,closed,benogle
1088317969,2017-05-18 18:22:27,subscribed,benogle
1088317968,2017-05-18 18:22:27,mentioned,benogle
711848327,2016-07-04 09:58:47,subscribed,benogle
711848326,2016-07-04 09:58:47,mentioned,benogle
655865098,2016-05-10 14:45:46,subscribed,benogle
655865097,2016-05-10 14:45:46,mentioned,benogle
214146186,2015-01-05 15:58:34,subscribed,benogle
214146185,2015-01-05 15:58:34,mentioned,benogle
206107959,2014-12-11 11:52:28,subscribed,benogle
206107958,2014-12-11 11:52:28,mentioned,benogle
201436853,2014-12-02 19:13:05,closed,benogle
201422819,2014-12-02 18:50:15,assigned,benogle
