id,date,event,creator_login
458894094,2015-11-09 14:39:31,mentioned,nathansobo
458894095,2015-11-09 14:39:31,subscribed,nathansobo
572328923,2016-03-01 02:42:53,referenced,nathansobo
572328924,2016-03-01 02:42:53,merged,nathansobo
572328928,2016-03-01 02:42:53,closed,nathansobo
572329129,2016-03-01 02:43:04,head_ref_deleted,nathansobo
572328925,2016-03-01 02:42:53,closed,nathansobo
250614990,2015-03-12 03:00:39,referenced,nathansobo
250614991,2015-03-12 03:00:39,merged,nathansobo
250614994,2015-03-12 03:00:40,closed,nathansobo
250615014,2015-03-12 03:00:42,head_ref_deleted,nathansobo
250604636,2015-03-12 02:27:00,referenced,nathansobo
250604637,2015-03-12 02:27:00,merged,nathansobo
250604638,2015-03-12 02:27:00,closed,nathansobo
250604663,2015-03-12 02:27:02,head_ref_deleted,nathansobo
222343091,2015-01-21 14:44:59,closed,nathansobo
205215260,2014-12-09 23:35:30,referenced,nathansobo
205215261,2014-12-09 23:35:30,merged,nathansobo
205215262,2014-12-09 23:35:30,closed,nathansobo
205215268,2014-12-09 23:35:31,head_ref_deleted,nathansobo
84261378,2014-01-04 17:48:52,referenced,nathansobo
84261379,2014-01-04 17:48:52,merged,nathansobo
84261381,2014-01-04 17:48:52,closed,nathansobo
84261382,2014-01-04 17:48:54,head_ref_deleted,nathansobo
82244692,2013-12-18 04:36:07,referenced,nathansobo
82244972,2013-12-18 04:39:17,referenced,nathansobo
82398320,2013-12-18 19:01:01,referenced,nathansobo
82398321,2013-12-18 19:01:01,merged,nathansobo
82398322,2013-12-18 19:01:02,closed,nathansobo
82398349,2013-12-18 19:01:07,head_ref_deleted,nathansobo
