id,date,event,creator_login
71720209,2013-10-22 22:07:43,closed,mcolyer
69332229,2013-10-08 23:30:27,referenced,mcolyer
69332230,2013-10-08 23:30:27,merged,mcolyer
69332231,2013-10-08 23:30:27,closed,mcolyer
69332233,2013-10-08 23:30:28,head_ref_deleted,mcolyer
66513020,2013-09-20 21:36:28,referenced,mcolyer
66513021,2013-09-20 21:36:28,merged,mcolyer
66513022,2013-09-20 21:36:28,closed,mcolyer
66513024,2013-09-20 21:36:30,head_ref_deleted,mcolyer
158481937,2014-08-28 15:52:06,mentioned,mcolyer
158481939,2014-08-28 15:52:06,subscribed,mcolyer
