id,date,event,creator_login
461475953,2015-11-11 16:31:40,labeled,izuzak
445755102,2015-10-26 16:33:53,labeled,izuzak
401198750,2015-09-04 14:35:30,closed,izuzak
387888876,2015-08-20 16:51:12,labeled,izuzak
387885099,2015-08-20 16:46:40,labeled,izuzak
369684274,2015-07-30 17:06:31,labeled,izuzak
370509364,2015-07-31 13:36:23,labeled,izuzak
389745175,2015-08-23 10:48:58,unlabeled,izuzak
362179215,2015-07-22 11:42:17,labeled,izuzak
353043282,2015-07-10 15:34:54,labeled,izuzak
349843352,2015-07-07 15:59:30,labeled,izuzak
345827181,2015-07-01 20:43:11,labeled,izuzak
346344161,2015-07-02 11:22:48,labeled,izuzak
335598782,2015-06-19 20:24:01,labeled,izuzak
335598934,2015-06-19 20:24:11,labeled,izuzak
326494926,2015-06-09 16:21:12,labeled,izuzak
304000193,2015-05-13 15:31:10,closed,izuzak
326560441,2015-06-09 17:31:01,labeled,izuzak
303882321,2015-05-13 13:53:18,labeled,izuzak
303889311,2015-05-13 14:00:28,closed,izuzak
303889632,2015-05-13 14:00:45,labeled,izuzak
326560808,2015-06-09 17:31:26,labeled,izuzak
326564163,2015-06-09 17:35:04,labeled,izuzak
326507875,2015-06-09 16:34:31,labeled,izuzak
326517112,2015-06-09 16:43:46,labeled,izuzak
326526504,2015-06-09 16:54:07,labeled,izuzak
326528240,2015-06-09 16:55:43,labeled,izuzak
326528491,2015-06-09 16:55:58,labeled,izuzak
233271223,2015-02-10 15:19:30,labeled,izuzak
326532863,2015-06-09 16:59:48,labeled,izuzak
326548238,2015-06-09 17:17:56,labeled,izuzak
404835377,2015-09-09 13:49:16,closed,izuzak
327413721,2015-06-10 13:16:53,labeled,izuzak
404825095,2015-09-09 13:41:12,closed,izuzak
327414062,2015-06-10 13:17:17,labeled,izuzak
327417159,2015-06-10 13:20:50,labeled,izuzak
408379718,2015-09-14 07:54:49,closed,izuzak
327415581,2015-06-10 13:19:23,labeled,izuzak
408500254,2015-09-14 10:12:35,closed,izuzak
408382215,2015-09-14 07:58:32,closed,izuzak
404755518,2015-09-09 12:25:57,closed,izuzak
327415371,2015-06-10 13:19:06,labeled,izuzak
408498227,2015-09-14 10:09:48,closed,izuzak
327414995,2015-06-10 13:18:37,labeled,izuzak
408371520,2015-09-14 07:43:34,closed,izuzak
326559635,2015-06-09 17:30:06,labeled,izuzak
408367881,2015-09-14 07:37:54,closed,izuzak
408362762,2015-09-14 07:28:47,closed,izuzak
408090944,2015-09-13 16:40:21,closed,izuzak
327414886,2015-06-10 13:18:26,labeled,izuzak
408372114,2015-09-14 07:44:37,closed,izuzak
