id,date,event,creator_login
112897328,2014-04-17 21:26:41,referenced,rafaelfranca
112897329,2014-04-17 21:26:41,merged,rafaelfranca
112897330,2014-04-17 21:26:41,closed,rafaelfranca
112897456,2014-04-17 21:27:02,referenced,rafaelfranca
112897457,2014-04-17 21:27:02,merged,rafaelfranca
112897458,2014-04-17 21:27:02,closed,rafaelfranca
106878013,2014-03-31 00:44:09,labeled,rafaelfranca
106878017,2014-03-31 00:44:10,unlabeled,rafaelfranca
106878018,2014-03-31 00:44:10,labeled,rafaelfranca
106878021,2014-03-31 00:44:16,labeled,rafaelfranca
47554820,2013-05-03 13:46:18,referenced,rafaelfranca
47554821,2013-05-03 13:46:18,merged,rafaelfranca
47554824,2013-05-03 13:46:18,closed,rafaelfranca
35865074,2013-01-28 20:43:32,mentioned,rafaelfranca
35865075,2013-01-28 20:43:32,subscribed,rafaelfranca
27194775,2012-10-18 04:24:32,referenced,rafaelfranca
27194776,2012-10-18 04:24:32,merged,rafaelfranca
27194777,2012-10-18 04:24:32,closed,rafaelfranca
26204974,2012-10-04 18:46:47,mentioned,rafaelfranca
26204975,2012-10-04 18:46:47,subscribed,rafaelfranca
21405916,2012-07-27 20:40:19,subscribed,rafaelfranca
21289156,2012-07-26 18:40:33,subscribed,rafaelfranca
21238125,2012-07-26 09:48:25,mentioned,rafaelfranca
21238126,2012-07-26 09:48:25,subscribed,rafaelfranca
21451722,2012-07-28 18:54:49,mentioned,rafaelfranca
19958739,2012-07-12 10:26:22,mentioned,rafaelfranca
19958740,2012-07-12 10:26:22,subscribed,rafaelfranca
19580204,2012-07-08 13:30:52,mentioned,rafaelfranca
19580205,2012-07-08 13:30:52,subscribed,rafaelfranca
17314803,2012-06-09 01:17:11,referenced,rafaelfranca
17314804,2012-06-09 01:17:11,subscribed,rafaelfranca
17314805,2012-06-09 01:17:11,merged,rafaelfranca
17314806,2012-06-09 01:17:11,closed,rafaelfranca
16980094,2012-06-05 14:17:29,subscribed,rafaelfranca
16896542,2012-06-04 16:07:59,subscribed,rafaelfranca
16901690,2012-06-04 17:09:15,subscribed,rafaelfranca
16855762,2012-06-04 04:22:24,subscribed,rafaelfranca
16748065,2012-06-01 13:50:35,subscribed,rafaelfranca
16672008,2012-05-31 16:30:10,referenced,rafaelfranca
16672009,2012-05-31 16:30:10,subscribed,rafaelfranca
16672010,2012-05-31 16:30:10,merged,rafaelfranca
16672011,2012-05-31 16:30:10,closed,rafaelfranca
16596841,2012-05-30 20:06:42,subscribed,rafaelfranca
16586073,2012-05-30 18:11:23,subscribed,rafaelfranca
16517726,2012-05-29 23:58:18,subscribed,rafaelfranca
16505227,2012-05-29 21:08:38,subscribed,rafaelfranca
16466895,2012-05-29 14:36:53,subscribed,rafaelfranca
16412309,2012-05-28 18:59:09,subscribed,rafaelfranca
16396153,2012-05-28 14:00:31,assigned,rafaelfranca
16396154,2012-05-28 14:00:31,subscribed,rafaelfranca
16338592,2012-05-26 18:47:12,mentioned,rafaelfranca
16338593,2012-05-26 18:47:12,subscribed,rafaelfranca
16242287,2012-05-25 01:55:46,subscribed,rafaelfranca
15891170,2012-05-21 13:16:12,subscribed,rafaelfranca
15891056,2012-05-21 13:14:51,subscribed,rafaelfranca
15861631,2012-05-21 02:14:35,subscribed,rafaelfranca
15855890,2012-05-20 21:25:30,subscribed,rafaelfranca
15855894,2012-05-20 21:25:36,subscribed,rafaelfranca
15366772,2012-05-13 21:55:32,referenced,rafaelfranca
15366773,2012-05-13 21:55:32,subscribed,rafaelfranca
15366774,2012-05-13 21:55:32,merged,rafaelfranca
15366775,2012-05-13 21:55:32,closed,rafaelfranca
15177969,2012-05-10 14:04:34,subscribed,rafaelfranca
15174874,2012-05-10 13:30:16,subscribed,rafaelfranca
15179135,2012-05-10 14:15:38,mentioned,rafaelfranca
15064981,2012-05-09 08:56:24,mentioned,rafaelfranca
15064982,2012-05-09 08:56:24,subscribed,rafaelfranca
15098937,2012-05-09 16:23:39,mentioned,rafaelfranca
15104768,2012-05-09 17:28:06,mentioned,rafaelfranca
14838026,2012-05-05 19:45:09,subscribed,rafaelfranca
14686016,2012-05-03 13:52:02,referenced,rafaelfranca
14686017,2012-05-03 13:52:03,subscribed,rafaelfranca
14686018,2012-05-03 13:52:03,merged,rafaelfranca
14686019,2012-05-03 13:52:03,closed,rafaelfranca
14375552,2012-04-28 17:47:16,mentioned,rafaelfranca
14375553,2012-04-28 17:47:16,subscribed,rafaelfranca
14281390,2012-04-27 02:38:55,referenced,rafaelfranca
14281391,2012-04-27 02:38:55,subscribed,rafaelfranca
14281392,2012-04-27 02:38:55,merged,rafaelfranca
14281393,2012-04-27 02:38:55,closed,rafaelfranca
14266270,2012-04-26 21:28:49,mentioned,rafaelfranca
14266271,2012-04-26 21:28:49,subscribed,rafaelfranca
14672407,2012-05-03 10:06:40,mentioned,rafaelfranca
14672408,2012-05-03 10:06:40,subscribed,rafaelfranca
14185628,2012-04-25 23:51:54,subscribed,rafaelfranca
23929698,2012-09-04 16:01:36,mentioned,rafaelfranca
23929699,2012-09-04 16:01:36,subscribed,rafaelfranca
14131173,2012-04-25 13:22:37,subscribed,rafaelfranca
14131198,2012-04-25 13:23:07,subscribed,rafaelfranca
14110616,2012-04-25 07:23:31,mentioned,rafaelfranca
14110617,2012-04-25 07:23:31,subscribed,rafaelfranca
14089468,2012-04-24 22:14:35,subscribed,rafaelfranca
13911548,2012-04-22 18:21:07,subscribed,rafaelfranca
13226659,2012-04-12 01:48:43,referenced,rafaelfranca
13226660,2012-04-12 01:48:43,subscribed,rafaelfranca
13226661,2012-04-12 01:48:43,merged,rafaelfranca
13226662,2012-04-12 01:48:43,closed,rafaelfranca
13199759,2012-04-11 18:56:55,subscribed,rafaelfranca
13140892,2012-04-11 02:05:12,subscribed,rafaelfranca
