id,date,event,creator_login
2412174851,2019-06-13 23:26:17,assigned,rmacnak-google
2386129121,2019-06-03 20:30:40,mentioned,rmacnak-google
2386129122,2019-06-03 20:30:40,subscribed,rmacnak-google
2386284220,2019-06-03 21:16:47,mentioned,rmacnak-google
2386284221,2019-06-03 21:16:47,subscribed,rmacnak-google
2386948960,2019-06-04 05:28:37,mentioned,rmacnak-google
2386948963,2019-06-04 05:28:37,subscribed,rmacnak-google
2391899918,2019-06-05 17:00:41,mentioned,rmacnak-google
2391899920,2019-06-05 17:00:41,subscribed,rmacnak-google
2442474712,2019-06-26 23:27:55,mentioned,rmacnak-google
2442474713,2019-06-26 23:27:55,subscribed,rmacnak-google
2344887557,2019-05-15 23:45:38,mentioned,rmacnak-google
2344887558,2019-05-15 23:45:38,subscribed,rmacnak-google
2350031299,2019-05-17 17:45:53,mentioned,rmacnak-google
2350031301,2019-05-17 17:45:53,subscribed,rmacnak-google
2411328904,2019-06-13 17:13:18,mentioned,rmacnak-google
2411328906,2019-06-13 17:13:19,subscribed,rmacnak-google
2312499780,2019-05-01 18:24:03,mentioned,rmacnak-google
2312499781,2019-05-01 18:24:03,subscribed,rmacnak-google
2305913118,2019-04-29 07:40:05,mentioned,rmacnak-google
2305913120,2019-04-29 07:40:05,subscribed,rmacnak-google
2304983794,2019-04-28 00:25:19,mentioned,rmacnak-google
2304983796,2019-04-28 00:25:19,subscribed,rmacnak-google
2305175536,2019-04-28 10:04:02,mentioned,rmacnak-google
2305175537,2019-04-28 10:04:02,subscribed,rmacnak-google
2305365971,2019-04-28 17:28:48,mentioned,rmacnak-google
2305365972,2019-04-28 17:28:48,subscribed,rmacnak-google
2248053603,2019-04-02 22:05:17,labeled,rmacnak-google
2248089857,2019-04-02 22:22:58,referenced,rmacnak-google
2248149415,2019-04-02 22:55:17,referenced,rmacnak-google
2250513274,2019-04-03 17:02:05,referenced,rmacnak-google
2250895310,2019-04-03 19:31:59,renamed,rmacnak-google
2250900235,2019-04-03 19:34:10,renamed,rmacnak-google
2204351848,2019-03-14 18:10:15,labeled,rmacnak-google
2208643750,2019-03-17 11:30:00,mentioned,rmacnak-google
