durations,datelimits
19.0,2010-01-29/2010-02-17
20.0,2011-12-27/2012-01-16
20.0,2012-09-04/2012-09-24
30.0,2012-12-10/2013-01-09
27.0,2013-01-15/2013-02-11
119.0,2013-02-11/2013-06-10
143.0,2013-06-10/2013-10-31
90.0,2013-11-01/2014-01-30
82.0,2014-01-30/2014-04-22
48.0,2014-08-05/2014-09-22
26.0,2014-11-07/2014-12-03
21.0,2015-02-18/2015-03-11
21.0,2015-03-23/2015-04-13
21.0,2015-04-13/2015-05-04
95.0,2015-05-04/2015-08-07
169.0,2015-10-11/2016-03-28
12.0,2016-10-13/2016-10-25
13.0,2017-05-23/2017-06-05
39.0,2017-07-31/2017-09-08
21.0,2017-09-27/2017-10-18
32.0,2018-05-19/2018-06-20
171.0,2018-10-23/2019-04-12
38.0,2019-04-12/2019-05-20
