id,date,event,creator_login
1247589796,2017-09-13 16:12:35,closed,tlancina
1310354071,2017-10-25 17:15:54,closed,mlynch
1282500410,2017-10-06 20:58:57,subscribed,mlynch
1282500408,2017-10-06 20:58:57,mentioned,mlynch
1378276118,2017-12-08 06:14:13,subscribed,mlynch
1378276117,2017-12-08 06:14:13,mentioned,mlynch
1439102604,2018-01-24 09:40:48,subscribed,mlynch
1439102603,2018-01-24 09:40:48,mentioned,mlynch
1445282907,2018-01-28 18:06:52,closed,mlynch
1445282725,2018-01-28 18:06:13,closed,mlynch
1405335356,2017-12-31 13:54:23,subscribed,mlynch
1405335355,2017-12-31 13:54:23,mentioned,mlynch
1405334622,2017-12-31 13:50:38,subscribed,mlynch
1405334621,2017-12-31 13:50:38,mentioned,mlynch
1445993075,2018-01-29 10:22:58,subscribed,mlynch
1445993073,2018-01-29 10:22:58,mentioned,mlynch
1536432034,2018-03-22 19:35:05,closed,tlancina
1536432031,2018-03-22 19:35:05,merged,tlancina
1536432030,2018-03-22 19:35:05,referenced,tlancina
