id,date,creator_login
1201822,2011-05-19 06:34:50,guilleiguaran
1201737,2011-05-19 06:01:41,vijaydev
1201940,2011-05-19 07:14:03,guilleiguaran
1205435,2011-05-19 18:35:12,dhh
1205421,2011-05-19 18:33:48,dhh
1205256,2011-05-19 18:11:13,dhh
1215988,2011-05-22 00:45:01,dhh
1237697,2011-05-25 19:30:25,dhh
4127150,2012-02-22 23:24:20,josh
4127287,2012-02-22 23:32:33,josh
4127059,2012-02-22 23:19:57,josh
4127282,2012-02-22 23:32:09,josh
4127041,2012-02-22 23:19:02,josh
4139381,2012-02-23 16:21:22,josh
4127138,2012-02-22 23:23:36,josh
4126980,2012-02-22 23:15:59,josh
4127308,2012-02-22 23:33:29,josh
4127274,2012-02-22 23:31:51,josh
4127123,2012-02-22 23:22:58,josh
4204872,2012-02-27 22:34:54,josh
6613908,2012-06-27 20:01:02,josh
6612541,2012-06-27 19:06:18,josh
6612447,2012-06-27 19:02:52,josh
22002742,2013-08-02 12:33:41,rafaelfranca
17514667,2013-05-06 23:29:56,rafaelfranca
17514606,2013-05-06 23:28:04,rafaelfranca
22704162,2013-08-15 13:55:16,rafaelfranca
22596692,2013-08-13 20:54:00,rafaelfranca
26258239,2013-10-14 14:22:13,rafaelfranca
26209826,2013-10-13 01:46:07,rafaelfranca
27305515,2013-10-29 14:10:15,rafaelfranca
27306074,2013-10-29 14:16:16,rafaelfranca
30469574,2013-12-12 22:40:59,rafaelfranca
29626823,2013-12-02 15:32:36,rafaelfranca
168318527,2016-01-01 17:34:46,rafaelfranca
