id,date,creator_login
349751,2010-10-06 15:59:39,rafaelfranca
643477,2011-03-03 14:31:34,rafaelfranca
1011295,2011-06-06 20:12:22,rafaelfranca
1905411,2011-10-13 21:45:52,rafaelfranca
2719796,2012-01-04 06:06:42,rafaelfranca
2725194,2012-01-04 16:43:04,rafaelfranca
2739329,2012-01-05 19:27:23,rafaelfranca
2740510,2012-01-05 21:01:28,rafaelfranca
2744108,2012-01-06 04:16:32,rafaelfranca
2744113,2012-01-06 04:18:00,rafaelfranca
2748850,2012-01-06 16:33:04,rafaelfranca
2750362,2012-01-06 18:37:44,rafaelfranca
2750787,2012-01-06 19:14:03,rafaelfranca
2754425,2012-01-07 01:55:03,rafaelfranca
2779547,2012-01-10 05:02:29,rafaelfranca
2826753,2012-01-13 02:10:20,rafaelfranca
2863639,2012-01-17 03:12:35,rafaelfranca
2870902,2012-01-17 16:28:22,rafaelfranca
2871926,2012-01-17 17:38:13,rafaelfranca
2878028,2012-01-18 02:38:45,rafaelfranca
2886060,2012-01-18 17:46:45,rafaelfranca
2887070,2012-01-18 19:03:08,rafaelfranca
2889774,2012-01-18 22:32:34,rafaelfranca
2914100,2012-01-20 17:29:56,rafaelfranca
2915654,2012-01-20 19:40:47,rafaelfranca
2932707,2012-01-23 10:13:16,rafaelfranca
2938611,2012-01-23 17:36:37,rafaelfranca
2938738,2012-01-23 17:44:34,rafaelfranca
2939962,2012-01-23 19:04:47,rafaelfranca
2954764,2012-01-24 18:40:39,rafaelfranca
2954834,2012-01-24 18:45:10,rafaelfranca
2956077,2012-01-24 20:10:07,rafaelfranca
2966499,2012-01-25 15:34:07,rafaelfranca
2974265,2012-01-26 01:07:58,rafaelfranca
2978845,2012-01-26 12:39:24,rafaelfranca
2997088,2012-01-27 17:10:59,rafaelfranca
3036349,2012-01-31 14:36:01,rafaelfranca
3038256,2012-01-31 16:28:36,rafaelfranca
3040193,2012-01-31 18:30:35,rafaelfranca
3045973,2012-02-01 01:42:50,rafaelfranca
3056884,2012-02-01 19:06:14,rafaelfranca
3057034,2012-02-01 19:14:37,rafaelfranca
3071850,2012-02-02 18:10:33,rafaelfranca
3123390,2012-02-07 12:54:27,rafaelfranca
3133962,2012-02-08 00:20:26,rafaelfranca
3140981,2012-02-08 13:54:07,rafaelfranca
3145280,2012-02-08 18:37:06,rafaelfranca
3241310,2012-02-15 20:23:41,rafaelfranca
3241879,2012-02-15 21:06:00,rafaelfranca
3338066,2012-02-22 18:04:00,rafaelfranca
3340262,2012-02-22 18:55:13,rafaelfranca
3393729,2012-02-26 22:09:25,rafaelfranca
3400229,2012-02-27 12:57:25,rafaelfranca
3400230,2012-02-27 12:57:28,rafaelfranca
3499910,2012-03-04 23:58:15,rafaelfranca
3500383,2012-03-05 01:21:57,rafaelfranca
3500597,2012-03-05 02:03:47,rafaelfranca
3512836,2012-03-05 20:03:07,rafaelfranca
3513478,2012-03-05 20:43:12,rafaelfranca
3577093,2012-03-09 02:50:21,rafaelfranca
3577157,2012-03-09 02:58:59,rafaelfranca
3577255,2012-03-09 03:09:56,rafaelfranca
3577266,2012-03-09 03:11:02,rafaelfranca
3620646,2012-03-12 22:42:37,rafaelfranca
3630067,2012-03-13 14:29:53,rafaelfranca
3633604,2012-03-13 17:20:14,rafaelfranca
3642058,2012-03-14 02:15:15,rafaelfranca
3688514,2012-03-16 20:06:13,rafaelfranca
3695385,2012-03-17 17:04:19,rafaelfranca
3716471,2012-03-19 19:33:06,rafaelfranca
3719614,2012-03-19 22:33:48,rafaelfranca
3773698,2012-03-23 00:46:55,rafaelfranca
3841841,2012-03-27 22:52:41,rafaelfranca
3842010,2012-03-27 23:05:21,rafaelfranca
3842582,2012-03-27 23:57:34,rafaelfranca
3866548,2012-03-28 22:04:05,rafaelfranca
3869643,2012-03-29 03:45:27,rafaelfranca
3880543,2012-03-29 14:27:27,rafaelfranca
3911001,2012-03-31 15:56:59,rafaelfranca
3927116,2012-04-02 14:19:08,rafaelfranca
3976666,2012-04-04 19:14:32,rafaelfranca
3992229,2012-04-05 17:32:39,rafaelfranca
4024969,2012-04-09 02:47:53,rafaelfranca
4025024,2012-04-09 02:57:20,rafaelfranca
4146403,2012-04-17 02:43:26,rafaelfranca
4224762,2012-04-21 17:15:22,rafaelfranca
4224804,2012-04-21 17:22:31,rafaelfranca
4341328,2012-04-29 15:13:33,rafaelfranca
4341443,2012-04-29 15:34:30,rafaelfranca
4342499,2012-04-29 18:49:47,rafaelfranca
9378659,2012-12-18 19:22:21,rafaelfranca
9494279,2012-12-23 23:34:09,rafaelfranca
14230421,2013-05-12 04:06:03,rafaelfranca
23113331,2013-11-22 02:08:17,rafaelfranca
25360878,2014-01-09 22:24:26,rafaelfranca
25955782,2014-01-21 00:09:08,rafaelfranca
26562809,2014-01-29 23:25:00,rafaelfranca
26566328,2014-01-30 00:32:29,rafaelfranca
26897557,2014-02-04 17:01:42,rafaelfranca
27799978,2014-02-18 15:09:46,rafaelfranca
29469430,2014-03-14 20:53:05,rafaelfranca
34909098,2014-06-03 22:06:27,rafaelfranca
36992120,2014-07-02 15:15:12,rafaelfranca
37597600,2014-07-10 19:42:35,rafaelfranca
37909454,2014-07-15 18:02:40,rafaelfranca
37916493,2014-07-15 19:19:02,rafaelfranca
40454304,2014-08-18 04:14:08,rafaelfranca
42096780,2014-09-05 22:17:25,rafaelfranca
42659563,2014-09-12 18:56:05,rafaelfranca
46180898,2014-10-18 16:44:24,rafaelfranca
51859408,2014-12-12 22:14:20,rafaelfranca
53075728,2014-12-29 22:06:20,rafaelfranca
53338585,2015-01-04 15:03:19,rafaelfranca
58097251,2015-02-18 17:12:38,rafaelfranca
65117634,2015-03-30 01:59:19,rafaelfranca
93881333,2015-07-08 20:21:56,rafaelfranca
120328036,2015-12-04 04:04:58,rafaelfranca
123035801,2015-12-18 22:18:46,rafaelfranca
123036584,2015-12-18 22:25:39,rafaelfranca
123036694,2015-12-18 22:26:37,rafaelfranca
123036736,2015-12-18 22:26:53,rafaelfranca
123694034,2015-12-23 17:16:20,rafaelfranca
126332020,2016-01-13 03:20:03,rafaelfranca
129601776,2016-01-28 22:26:09,rafaelfranca
135584948,2016-02-23 00:07:31,rafaelfranca
140845648,2016-03-15 01:44:29,rafaelfranca
149651511,2016-04-20 03:56:55,rafaelfranca
153294472,2016-05-05 18:34:23,rafaelfranca
153927412,2016-05-10 05:36:05,rafaelfranca
172033279,2016-08-19 00:54:53,rafaelfranca
177918109,2016-09-19 22:46:11,rafaelfranca
181935820,2016-10-10 04:30:25,rafaelfranca
182144320,2016-10-11 00:13:36,rafaelfranca
198080598,2016-12-29 22:52:20,rafaelfranca
199160022,2017-01-06 09:48:30,rafaelfranca
205978950,2017-02-07 18:46:37,rafaelfranca
209285189,2017-02-21 21:57:01,rafaelfranca
209915433,2017-02-23 23:24:55,rafaelfranca
221134921,2017-04-12 02:39:31,rafaelfranca
222885808,2017-04-19 22:03:54,rafaelfranca
224653585,2017-04-27 02:46:46,rafaelfranca
245151299,2017-07-24 17:24:05,rafaelfranca
246860924,2017-07-31 19:37:17,rafaelfranca
246861288,2017-07-31 19:38:48,rafaelfranca
267266279,2017-10-20 18:36:57,rafaelfranca
292968355,2018-01-30 22:53:41,rafaelfranca
301221533,2018-02-28 23:18:38,rafaelfranca
362010493,2018-09-20 04:03:25,rafaelfranca
386635718,2018-12-03 02:31:34,rafaelfranca
400070049,2019-01-17 01:19:28,rafaelfranca
435897784,2019-04-22 21:21:32,rafaelfranca
