id,date,event,creator_login
216225855,2015-01-08 23:00:49,mentioned,benogle
216225856,2015-01-08 23:00:49,subscribed,benogle
196272544,2014-11-20 17:03:01,referenced,benogle
196272545,2014-11-20 17:03:01,merged,benogle
196272547,2014-11-20 17:03:01,closed,benogle
194582679,2014-11-18 00:33:53,referenced,benogle
194582681,2014-11-18 00:33:53,merged,benogle
194582683,2014-11-18 00:33:53,closed,benogle
194582795,2014-11-18 00:34:14,head_ref_deleted,benogle
194576704,2014-11-18 00:16:53,assigned,benogle
194576721,2014-11-18 00:16:55,labeled,benogle
194582682,2014-11-18 00:33:53,closed,benogle
193527824,2014-11-14 19:00:05,referenced,benogle
193527825,2014-11-14 19:00:05,merged,benogle
193527826,2014-11-14 19:00:05,closed,benogle
164581988,2014-09-12 04:32:23,assigned,benogle
165628394,2014-09-15 18:13:06,closed,benogle
194585008,2014-11-18 00:40:09,closed,benogle
97849966,2014-02-28 17:30:26,assigned,benogle
79658949,2013-12-04 19:25:31,referenced,benogle
79658950,2013-12-04 19:25:31,merged,benogle
79658951,2013-12-04 19:25:31,closed,benogle
80504535,2013-12-09 18:45:26,head_ref_deleted,benogle
73937992,2013-11-04 21:33:04,referenced,benogle
73937993,2013-11-04 21:33:04,merged,benogle
73937996,2013-11-04 21:33:04,closed,benogle
67017537,2013-09-24 21:01:55,closed,benogle
66536429,2013-09-21 00:42:34,referenced,benogle
66814749,2013-09-23 23:09:56,closed,benogle
