"[14, '2012-11-05/2012-11-19']","['sot', 14, '2012-11-05/2012-11-19']"
"[10, '2014-11-21/2014-12-01']","['sot', 10, '2014-11-21/2014-12-01']"
"[12, '2014-12-24/2015-01-05']","['sot', 12, '2014-12-24/2015-01-05']"
"[4, '2015-01-16/2015-01-20']","['sot', 4, '2015-01-16/2015-01-20']"
"[4, '2015-03-05/2015-03-09']","['sot', 4, '2015-03-05/2015-03-09']"
"[4, '2015-03-19/2015-03-23']","['sot', 4, '2015-03-19/2015-03-23']"
"[5, '2015-05-01/2015-05-06']","['sot', 5, '2015-05-01/2015-05-06']"
"[4, '2015-05-22/2015-05-26']","['sot', 4, '2015-05-22/2015-05-26']"
"[5, '2015-07-01/2015-07-06']","['sot', 5, '2015-07-01/2015-07-06']"
"[11, '2015-07-09/2015-07-20']","['sot', 11, '2015-07-09/2015-07-20']"
"[6, '2015-07-21/2015-07-27']","['sot', 6, '2015-07-21/2015-07-27']"
"[13, '2015-09-01/2015-09-14']","['sot', 13, '2015-09-01/2015-09-14']"
"[20, '2015-11-11/2015-12-01']","['sot', 20, '2015-11-11/2015-12-01']"
"[41, '2015-12-04/2016-01-14']","['sot', 41, '2015-12-04/2016-01-14']"
"[261, '2016-02-08/2016-10-26']","['sot', 261, '2016-02-08/2016-10-26']"
"[98, '2016-12-06/2017-03-14']","['sot', 98, '2016-12-06/2017-03-14']"
"[828, '2017-03-14/2019-06-20']","['sot', 311, '2017-03-14/2018-01-19']","['h', 140, '2018-03-10/2018-06-08']","['sot', 112, '2018-06-08/2018-09-28']","['h', 133, '2018-11-17/2019-02-08']","['sot', 132, '2019-02-08/2019-06-20']"
