id,date,creator_login
473709709,2019-03-17 20:07:17,50Wliu
350591367,2017-12-10 23:37:52,50Wliu
345201613,2017-11-17 10:11:58,50Wliu
336861398,2017-10-16 11:40:11,50Wliu
325829508,2017-08-29 23:05:14,50Wliu
326401680,2017-08-31 19:47:00,50Wliu
300580657,2017-05-10 18:58:50,50Wliu
302152307,2017-05-17 16:53:41,50Wliu
280863893,2017-02-18 18:09:10,50Wliu
245092014,2016-09-06 21:07:55,50Wliu
227605722,2016-06-21 23:50:03,50Wliu
236592047,2016-08-01 14:13:15,50Wliu
246055300,2016-09-09 22:13:23,50Wliu
194618327,2016-03-10 02:03:59,50Wliu
164565500,2015-12-14 21:29:25,50Wliu
158047847,2015-11-19 12:50:59,50Wliu
148026921,2015-10-14 11:52:40,50Wliu
258153571,2016-11-03 14:13:21,50Wliu
252307744,2016-10-07 17:08:23,50Wliu
76505647,2015-02-28 02:31:01,50Wliu
76505685,2015-02-28 02:31:52,50Wliu
76643400,2015-03-02 00:54:13,50Wliu
156556264,2015-11-13 21:05:00,50Wliu
156558133,2015-11-13 21:13:02,50Wliu
