id,date,event,creator_login
61503623,2013-08-19 21:25:15,head_ref_deleted,kevinsawicki
61502661,2013-08-19 21:20:33,closed,kevinsawicki
61502658,2013-08-19 21:20:33,merged,kevinsawicki
66493158,2013-09-20 19:40:31,head_ref_deleted,kevinsawicki
66490595,2013-09-20 19:24:50,closed,kevinsawicki
66490594,2013-09-20 19:24:50,merged,kevinsawicki
97955620,2014-02-28 23:03:29,closed,kevinsawicki
130038548,2014-06-10 23:19:31,closed,kevinsawicki
130038376,2014-06-10 23:18:41,labeled,kevinsawicki
121672273,2014-05-15 21:40:59,closed,kevinsawicki
121672272,2014-05-15 21:40:59,merged,kevinsawicki
121672271,2014-05-15 21:40:59,referenced,kevinsawicki
121539889,2014-05-15 16:21:30,subscribed,kevinsawicki
121539888,2014-05-15 16:21:30,mentioned,kevinsawicki
126230406,2014-05-29 23:46:41,closed,kevinsawicki
126230405,2014-05-29 23:46:41,merged,kevinsawicki
126230404,2014-05-29 23:46:41,referenced,kevinsawicki
128069892,2014-06-04 18:57:47,closed,kevinsawicki
128025453,2014-06-04 17:22:52,labeled,kevinsawicki
152144652,2014-08-12 23:15:58,head_ref_deleted,benogle
152144398,2014-08-12 23:14:58,closed,benogle
152144395,2014-08-12 23:14:58,merged,benogle
152144394,2014-08-12 23:14:58,referenced,benogle
155693342,2014-08-21 18:04:10,closed,kevinsawicki
155693341,2014-08-21 18:04:10,merged,kevinsawicki
155693340,2014-08-21 18:04:10,referenced,kevinsawicki
158006733,2014-08-27 17:55:46,closed,kevinsawicki
158299544,2014-08-28 09:20:28,closed,izuzak
158846065,2014-08-29 07:07:50,closed,izuzak
158846149,2014-08-29 07:08:07,closed,izuzak
159506773,2014-09-01 06:59:16,closed,izuzak
184395843,2014-10-27 23:02:02,closed,kevinsawicki
176090244,2014-10-09 00:01:41,labeled,kevinsawicki
184395844,2014-10-27 23:02:02,closed,kevinsawicki
184395839,2014-10-27 23:02:02,merged,kevinsawicki
184395838,2014-10-27 23:02:02,referenced,kevinsawicki
184225830,2014-10-27 18:00:31,subscribed,kevinsawicki
184225829,2014-10-27 18:00:31,mentioned,kevinsawicki
184155990,2014-10-27 16:17:11,assigned,kevinsawicki
202156351,2014-12-03 19:22:43,head_ref_deleted,kevinsawicki
202156345,2014-12-03 19:22:42,closed,kevinsawicki
202156344,2014-12-03 19:22:42,merged,kevinsawicki
202156343,2014-12-03 19:22:42,referenced,kevinsawicki
327383335,2015-06-10 12:44:19,labeled,izuzak
224170439,2015-01-24 15:42:34,labeled,50Wliu
315066688,2015-05-27 16:00:50,head_ref_deleted,mnquintana
315066631,2015-05-27 16:00:49,closed,mnquintana
315066628,2015-05-27 16:00:49,merged,mnquintana
315066627,2015-05-27 16:00:49,referenced,mnquintana
349913447,2015-07-07 17:08:59,subscribed,maxbrunsfeld
349913446,2015-07-07 17:08:59,mentioned,maxbrunsfeld
349860210,2015-07-07 16:14:07,closed,maxbrunsfeld
349232154,2015-07-07 01:36:51,subscribed,izuzak
349232153,2015-07-07 01:36:51,mentioned,izuzak
345830006,2015-07-01 20:46:53,labeled,izuzak
349009798,2015-07-06 19:51:50,labeled,mnquintana
349008321,2015-07-06 19:50:35,closed,kevinsawicki
346915299,2015-07-02 22:00:09,labeled,50Wliu
346915220,2015-07-02 22:00:04,labeled,50Wliu
832712879,2016-10-22 05:00:17,closed,kuychaco
418500557,2015-09-24 19:54:37,labeled,maxbrunsfeld
418500556,2015-09-24 19:54:37,labeled,maxbrunsfeld
832712880,2016-10-22 05:00:17,closed,kuychaco
832712878,2016-10-22 05:00:17,merged,kuychaco
807124044,2016-09-29 14:50:45,labeled,50Wliu
431899537,2015-10-09 22:39:12,labeled,50Wliu
443617352,2015-10-23 09:22:17,labeled,lee-dohm
666390252,2016-05-19 21:03:50,closed,50Wliu
517477965,2016-01-18 02:37:46,labeled,50Wliu
618490492,2016-04-07 13:37:23,closed,50Wliu
618060039,2016-04-07 09:06:42,subscribed,50Wliu
618060037,2016-04-07 09:06:42,mentioned,50Wliu
605244807,2016-03-28 14:03:37,labeled,50Wliu
605244806,2016-03-28 14:03:37,labeled,50Wliu
666722616,2016-05-20 05:46:52,subscribed,50Wliu
666722615,2016-05-20 05:46:52,mentioned,50Wliu
666390253,2016-05-19 21:03:50,closed,50Wliu
666390251,2016-05-19 21:03:50,merged,50Wliu
666390250,2016-05-19 21:03:50,referenced,50Wliu
666300927,2016-05-19 19:48:40,subscribed,50Wliu
666300925,2016-05-19 19:48:40,mentioned,50Wliu
664949565,2016-05-18 20:26:44,subscribed,BinaryMuse
664949564,2016-05-18 20:26:44,subscribed,iolsen
664949563,2016-05-18 20:26:44,subscribed,kuychaco
664949561,2016-05-18 20:26:44,subscribed,maxbrunsfeld
664949560,2016-05-18 20:26:44,subscribed,as-cii
664949558,2016-05-18 20:26:44,subscribed,simurai
664949557,2016-05-18 20:26:44,subscribed,thedaniel
664949554,2016-05-18 20:26:44,subscribed,50Wliu
664949553,2016-05-18 20:26:44,subscribed,lee-dohm
664949551,2016-05-18 20:26:44,subscribed,thomasjo
664949550,2016-05-18 20:26:44,subscribed,mnquintana
660996613,2016-05-15 15:45:39,assigned,50Wliu
660338896,2016-05-13 19:18:29,subscribed,50Wliu
660338895,2016-05-13 19:18:29,mentioned,50Wliu
620329186,2016-04-08 15:54:18,subscribed,50Wliu
620329185,2016-04-08 15:54:18,mentioned,50Wliu
619586464,2016-04-08 06:53:46,subscribed,50Wliu
619586463,2016-04-08 06:53:46,mentioned,50Wliu
610756836,2016-04-01 03:52:28,subscribed,50Wliu
610756835,2016-04-01 03:52:28,mentioned,50Wliu
610119120,2016-03-31 17:12:19,subscribed,50Wliu
610119119,2016-03-31 17:12:19,mentioned,50Wliu
609667747,2016-03-31 11:43:33,labeled,50Wliu
1443084851,2018-01-26 07:15:53,subscribed,50Wliu
1443084849,2018-01-26 07:15:53,mentioned,50Wliu
1442981650,2018-01-26 04:41:29,subscribed,50Wliu
1442981649,2018-01-26 04:41:29,mentioned,50Wliu
620110290,2016-04-08 13:16:05,labeled,50Wliu
619587014,2016-04-08 06:54:02,subscribed,50Wliu
619587013,2016-04-08 06:54:02,mentioned,50Wliu
832705507,2016-10-22 04:20:06,closed,kuychaco
832705506,2016-10-22 04:20:06,merged,kuychaco
792150900,2016-09-16 13:58:46,closed,50Wliu
792150899,2016-09-16 13:58:46,merged,50Wliu
792150898,2016-09-16 13:58:46,referenced,50Wliu
817379110,2016-10-09 15:22:58,labeled,50Wliu
817379050,2016-10-09 15:22:48,closed,50Wliu
833201311,2016-10-23 23:05:04,labeled,50Wliu
840215150,2016-10-28 15:29:55,closed,50Wliu
839935956,2016-10-28 11:47:31,labeled,Ben3eeE
839935955,2016-10-28 11:47:31,labeled,Ben3eeE
840213243,2016-10-28 15:28:30,closed,50Wliu
840213232,2016-10-28 15:28:30,merged,50Wliu
840213227,2016-10-28 15:28:30,referenced,50Wliu
869203020,2016-11-23 03:51:43,closed,50Wliu
895431432,2016-12-15 16:00:46,head_ref_deleted,as-cii
895431392,2016-12-15 16:00:45,closed,as-cii
895431389,2016-12-15 16:00:45,merged,as-cii
895431387,2016-12-15 16:00:45,referenced,as-cii
899207493,2016-12-19 20:45:41,subscribed,lee-dohm
899207492,2016-12-19 20:45:41,mentioned,lee-dohm
889626059,2016-12-11 17:36:01,subscribed,as-cii
889626058,2016-12-11 17:36:01,mentioned,as-cii
903293596,2016-12-22 17:52:07,head_ref_deleted,lee-dohm
903293558,2016-12-22 17:52:05,closed,lee-dohm
903293552,2016-12-22 17:52:05,merged,lee-dohm
903293550,2016-12-22 17:52:05,referenced,lee-dohm
905217466,2016-12-26 17:51:54,head_ref_deleted,lee-dohm
905217455,2016-12-26 17:51:52,closed,lee-dohm
905217454,2016-12-26 17:51:52,merged,lee-dohm
905217453,2016-12-26 17:51:52,referenced,lee-dohm
1049456002,2017-04-19 21:56:11,head_ref_deleted,nathansobo
1049455959,2017-04-19 21:56:08,closed,nathansobo
1049455957,2017-04-19 21:56:08,merged,nathansobo
1049455954,2017-04-19 21:56:08,referenced,nathansobo
1161824631,2017-07-13 02:47:44,labeled,50Wliu
1162803340,2017-07-13 15:30:17,subscribed,50Wliu
1162803339,2017-07-13 15:30:17,mentioned,50Wliu
1161784962,2017-07-13 01:55:37,labeled,50Wliu
1907643358,2018-10-16 18:41:54,subscribed,lee-dohm
1907643356,2018-10-16 18:41:54,mentioned,lee-dohm
1905432585,2018-10-15 23:19:06,subscribed,lee-dohm
1905432583,2018-10-15 23:19:06,mentioned,lee-dohm
1866654321,2018-09-25 19:22:37,head_ref_deleted,jasonrudolph
1866654201,2018-09-25 19:22:33,closed,jasonrudolph
1866654197,2018-09-25 19:22:33,merged,jasonrudolph
1866654195,2018-09-25 19:22:33,referenced,jasonrudolph
1879849482,2018-10-02 16:43:33,head_ref_deleted,jasonrudolph
1879849405,2018-10-02 16:43:31,closed,jasonrudolph
1879849399,2018-10-02 16:43:31,merged,jasonrudolph
1879849395,2018-10-02 16:43:31,referenced,jasonrudolph
