id,date,event,creator_login
388272719,2015-08-20 23:32:51,head_ref_force_pushed,nathansobo
388273539,2015-08-20 23:34:25,head_ref_force_pushed,nathansobo
388275047,2015-08-20 23:37:31,head_ref_force_pushed,nathansobo
389318033,2015-08-21 23:43:30,mentioned,nathansobo
389318034,2015-08-21 23:43:30,subscribed,nathansobo
390772397,2015-08-24 16:43:22,head_ref_force_pushed,nathansobo
391004461,2015-08-24 20:29:04,mentioned,nathansobo
391004462,2015-08-24 20:29:04,subscribed,nathansobo
391590718,2015-08-25 12:17:31,mentioned,nathansobo
391590719,2015-08-25 12:17:31,subscribed,nathansobo
394094187,2015-08-27 14:37:04,mentioned,nathansobo
394094188,2015-08-27 14:37:04,subscribed,nathansobo
403880078,2015-09-08 17:01:22,referenced,nathansobo
403880080,2015-09-08 17:01:22,merged,nathansobo
403880089,2015-09-08 17:01:23,closed,nathansobo
403880128,2015-09-08 17:01:24,head_ref_deleted,nathansobo
222343861,2015-01-21 14:46:07,referenced,nathansobo
222343862,2015-01-21 14:46:07,merged,nathansobo
222343864,2015-01-21 14:46:07,closed,nathansobo
222343883,2015-01-21 14:46:09,head_ref_deleted,nathansobo
