id,date,event,creator_login
103265182,2014-03-19 00:26:38,closed,kevinsawicki
360618219,2015-07-20 23:53:31,closed,kevinsawicki
320640819,2015-06-03 00:53:16,head_ref_deleted,mnquintana
320640810,2015-06-03 00:53:15,closed,mnquintana
320640809,2015-06-03 00:53:15,merged,mnquintana
320640808,2015-06-03 00:53:15,referenced,mnquintana
348843723,2015-07-06 17:03:37,closed,kevinsawicki
348843722,2015-07-06 17:03:37,merged,kevinsawicki
348843721,2015-07-06 17:03:37,referenced,kevinsawicki
346786559,2015-07-02 19:23:06,subscribed,kevinsawicki
346786558,2015-07-02 19:23:06,mentioned,kevinsawicki
442153518,2015-10-22 00:58:43,closed,nathansobo
442153516,2015-10-22 00:58:43,merged,nathansobo
442153515,2015-10-22 00:58:43,referenced,nathansobo
482799762,2015-12-04 16:16:48,unlabeled,50Wliu
482131481,2015-12-04 00:19:37,labeled,50Wliu
478320549,2015-11-30 22:53:28,subscribed,nathansobo
478320548,2015-11-30 22:53:28,mentioned,nathansobo
482091802,2015-12-03 23:28:12,closed,kevinsawicki
474052167,2015-11-25 02:58:04,labeled,lee-dohm
482091641,2015-12-03 23:27:58,closed,kevinsawicki
482091639,2015-12-03 23:27:58,merged,kevinsawicki
482091638,2015-12-03 23:27:58,referenced,kevinsawicki
775310587,2016-09-01 15:14:26,closed,50Wliu
775310585,2016-09-01 15:14:26,merged,50Wliu
775310584,2016-09-01 15:14:26,referenced,50Wliu
807536314,2016-09-29 19:42:08,closed,50Wliu
807536311,2016-09-29 19:42:08,merged,50Wliu
807536309,2016-09-29 19:42:08,referenced,50Wliu
854673205,2016-11-10 15:53:24,closed,50Wliu
854673204,2016-11-10 15:53:24,merged,50Wliu
854673202,2016-11-10 15:53:24,referenced,50Wliu
2327929985,2019-05-08 17:24:57,closed,jasonrudolph
859790228,2016-11-15 17:41:47,labeled,50Wliu
903343069,2016-12-22 18:35:54,head_ref_deleted,lee-dohm
903342966,2016-12-22 18:35:51,closed,lee-dohm
903342965,2016-12-22 18:35:51,merged,lee-dohm
903342964,2016-12-22 18:35:51,referenced,lee-dohm
905220592,2016-12-26 18:01:09,head_ref_deleted,lee-dohm
905220582,2016-12-26 18:01:07,closed,lee-dohm
905220580,2016-12-26 18:01:07,merged,lee-dohm
905220579,2016-12-26 18:01:07,referenced,lee-dohm
980076555,2017-02-28 12:44:45,unlabeled,simurai
980075253,2017-02-28 12:43:43,subscribed,smashwilson
980075250,2017-02-28 12:43:43,subscribed,damieng
980075249,2017-02-28 12:43:43,subscribed,BinaryMuse
980075248,2017-02-28 12:43:43,subscribed,lee-dohm
980075247,2017-02-28 12:43:43,subscribed,simurai
980075246,2017-02-28 12:43:43,subscribed,iolsen
980075245,2017-02-28 12:43:43,subscribed,kuychaco
980075243,2017-02-28 12:43:43,subscribed,as-cii
980075242,2017-02-28 12:43:43,subscribed,maxbrunsfeld
980075240,2017-02-28 12:43:43,subscribed,nathansobo
980075237,2017-02-28 12:43:43,subscribed,50Wliu
980075236,2017-02-28 12:43:43,mentioned,50Wliu
979462382,2017-02-28 02:47:08,labeled,simurai
979462381,2017-02-28 02:47:07,labeled,simurai
977165788,2017-02-25 18:24:29,subscribed,simurai
977165787,2017-02-25 18:24:29,mentioned,simurai
1126097962,2017-06-16 01:15:12,head_ref_deleted,50Wliu
1126097935,2017-06-16 01:15:10,closed,50Wliu
1126097932,2017-06-16 01:15:10,merged,50Wliu
1126097931,2017-06-16 01:15:10,referenced,50Wliu
1264619535,2017-09-25 21:55:29,closed,50Wliu
1264619528,2017-09-25 21:55:29,merged,50Wliu
1264619527,2017-09-25 21:55:29,referenced,50Wliu
1262898294,2017-09-25 01:59:49,subscribed,50Wliu
1262898293,2017-09-25 01:59:49,mentioned,50Wliu
1273537870,2017-10-02 07:53:59,labeled,50Wliu
1273537869,2017-10-02 07:53:59,labeled,50Wliu
1273537673,2017-10-02 07:53:51,closed,50Wliu
1512776775,2018-03-09 08:01:45,labeled,Ben3eeE
1512776622,2018-03-09 08:01:38,closed,Ben3eeE
1831848050,2018-09-07 02:14:39,closed,50Wliu
1831848048,2018-09-07 02:14:39,merged,50Wliu
1831848047,2018-09-07 02:14:39,referenced,50Wliu
1602714457,2018-05-01 01:01:35,subscribed,50Wliu
1602714456,2018-05-01 01:01:35,mentioned,50Wliu
2327929993,2019-05-08 17:24:57,closed,jasonrudolph
1726772546,2018-07-10 23:49:06,labeled,50Wliu
1866672987,2018-09-25 19:31:37,head_ref_deleted,jasonrudolph
1866672907,2018-09-25 19:31:35,closed,jasonrudolph
1866672901,2018-09-25 19:31:34,merged,jasonrudolph
1866672899,2018-09-25 19:31:34,referenced,jasonrudolph
1879894251,2018-10-02 17:02:58,head_ref_deleted,jasonrudolph
1879894145,2018-10-02 17:02:56,closed,jasonrudolph
1879894133,2018-10-02 17:02:56,merged,jasonrudolph
1879894132,2018-10-02 17:02:56,referenced,jasonrudolph
2327930002,2019-05-08 17:24:57,closed,jasonrudolph
2327929977,2019-05-08 17:24:57,merged,jasonrudolph
2327929973,2019-05-08 17:24:57,referenced,jasonrudolph
2327914195,2019-05-08 17:18:48,assigned,jasonrudolph
