id,date,event,creator_login
1831296025,2018-09-06 19:49:49,referenced,maxbrunsfeld
1831296026,2018-09-06 19:49:49,merged,maxbrunsfeld
1831296032,2018-09-06 19:49:49,closed,maxbrunsfeld
1831296193,2018-09-06 19:49:54,head_ref_deleted,maxbrunsfeld
1831288879,2018-09-06 19:46:19,closed,maxbrunsfeld
1831287378,2018-09-06 19:45:36,closed,maxbrunsfeld
541274643,2016-02-05 21:52:40,referenced,maxbrunsfeld
541274644,2016-02-05 21:52:40,merged,maxbrunsfeld
541274646,2016-02-05 21:52:40,closed,maxbrunsfeld
541274687,2016-02-05 21:52:41,head_ref_deleted,maxbrunsfeld
411614836,2015-09-17 00:37:28,subscribed,maxbrunsfeld
408152310,2015-09-13 21:21:41,subscribed,maxbrunsfeld
342051351,2015-06-27 19:01:39,subscribed,maxbrunsfeld
