id,date,event,creator_login
906725528,2016-12-28 17:46:34,subscribed,BinaryMuse
640173213,2016-04-25 15:28:56,subscribed,BinaryMuse
649966789,2016-05-04 09:53:59,referenced,BinaryMuse
649966790,2016-05-04 09:53:59,merged,BinaryMuse
649966791,2016-05-04 09:53:59,closed,BinaryMuse
640172436,2016-04-25 15:28:27,subscribed,BinaryMuse
649964803,2016-05-04 09:52:21,referenced,BinaryMuse
649964805,2016-05-04 09:52:21,merged,BinaryMuse
649964807,2016-05-04 09:52:21,closed,BinaryMuse
649997491,2016-05-04 10:26:12,mentioned,BinaryMuse
649997493,2016-05-04 10:26:12,subscribed,BinaryMuse
567319048,2016-02-26 11:08:24,subscribed,BinaryMuse
