id,date,event,creator_login
59127507,2013-08-02 00:07:04,closed,kevinsawicki
59109737,2013-08-01 21:47:52,subscribed,kevinsawicki
59109736,2013-08-01 21:47:52,mentioned,kevinsawicki
364768753,2015-07-24 18:31:34,closed,maxbrunsfeld
100934878,2014-03-11 16:32:50,referenced,mcolyer
59110519,2013-08-01 21:52:33,subscribed,nathansobo
59110518,2013-08-01 21:52:33,mentioned,nathansobo
59519364,2013-08-05 22:05:16,subscribed,benogle
59519363,2013-08-05 22:05:16,mentioned,benogle
59111293,2013-08-01 21:57:15,subscribed,kevinsawicki
59111292,2013-08-01 21:57:15,mentioned,kevinsawicki
59111291,2013-08-01 21:57:15,subscribed,nathansobo
59111290,2013-08-01 21:57:15,mentioned,nathansobo
59247798,2013-08-02 18:28:00,head_ref_deleted,mcolyer
59247793,2013-08-02 18:27:57,closed,mcolyer
59247790,2013-08-02 18:27:57,merged,mcolyer
59247789,2013-08-02 18:27:57,referenced,mcolyer
59265978,2013-08-02 20:26:17,head_ref_deleted,mcolyer
59265973,2013-08-02 20:26:16,closed,mcolyer
59265972,2013-08-02 20:26:16,merged,mcolyer
59265971,2013-08-02 20:26:16,referenced,mcolyer
59286048,2013-08-02 22:56:52,head_ref_deleted,mcolyer
59286036,2013-08-02 22:56:42,closed,mcolyer
59286033,2013-08-02 22:56:41,merged,mcolyer
59286031,2013-08-02 22:56:41,referenced,mcolyer
59518317,2013-08-05 21:58:37,head_ref_deleted,mcolyer
59518305,2013-08-05 21:58:35,closed,mcolyer
59518303,2013-08-05 21:58:35,merged,mcolyer
59518302,2013-08-05 21:58:35,referenced,mcolyer
59521858,2013-08-05 22:24:42,head_ref_deleted,mcolyer
59521829,2013-08-05 22:24:34,closed,mcolyer
59521828,2013-08-05 22:24:34,merged,mcolyer
59521827,2013-08-05 22:24:34,referenced,mcolyer
107097372,2014-03-31 15:59:12,closed,mcolyer
59658514,2013-08-06 17:46:33,referenced,mcolyer
59900683,2013-08-07 22:04:18,head_ref_deleted,mcolyer
59900664,2013-08-07 22:04:15,closed,mcolyer
59900663,2013-08-07 22:04:15,merged,mcolyer
59900661,2013-08-07 22:04:15,referenced,mcolyer
59898534,2013-08-07 21:52:16,subscribed,mcolyer
59898533,2013-08-07 21:52:16,mentioned,mcolyer
60228418,2013-08-09 17:36:21,subscribed,nathansobo
60228417,2013-08-09 17:36:21,mentioned,nathansobo
60655356,2013-08-13 16:54:12,head_ref_deleted,mcolyer
60655347,2013-08-13 16:54:11,closed,mcolyer
60655341,2013-08-13 16:54:11,merged,mcolyer
60655340,2013-08-13 16:54:11,referenced,mcolyer
60899645,2013-08-14 21:24:20,head_ref_deleted,mcolyer
60899643,2013-08-14 21:24:18,closed,mcolyer
60899642,2013-08-14 21:24:18,merged,mcolyer
60899641,2013-08-14 21:24:18,referenced,mcolyer
60898330,2013-08-14 21:17:18,subscribed,mcolyer
60898329,2013-08-14 21:17:18,mentioned,mcolyer
60547108,2013-08-13 02:16:20,head_ref_deleted,mcolyer
60547085,2013-08-13 02:15:59,closed,mcolyer
60547084,2013-08-13 02:15:59,merged,mcolyer
60547083,2013-08-13 02:15:59,referenced,mcolyer
60444794,2013-08-12 15:23:30,head_ref_deleted,mcolyer
60442490,2013-08-12 15:12:39,closed,mcolyer
60442489,2013-08-12 15:12:39,merged,mcolyer
60442487,2013-08-12 15:12:39,referenced,mcolyer
60441786,2013-08-12 15:09:24,subscribed,benogle
60441785,2013-08-12 15:09:24,mentioned,benogle
60442352,2013-08-12 15:11:44,head_ref_deleted,mcolyer
60442337,2013-08-12 15:11:42,closed,mcolyer
60442336,2013-08-12 15:11:42,merged,mcolyer
60442334,2013-08-12 15:11:42,referenced,mcolyer
60901780,2013-08-14 21:36:29,head_ref_deleted,mcolyer
60901778,2013-08-14 21:36:27,closed,mcolyer
