durations;datelimits
68;2018-10-05/2018-12-12
34;2018-08-15/2018-09-18
28;2018-04-28/2018-05-26
32;2018-03-27/2018-04-28
8;2018-01-11/2018-01-19
26;2017-12-11/2018-01-06
7;2017-11-22/2017-11-29
7;2017-09-27/2017-10-04
22;2017-08-15/2017-09-06
21;2017-07-19/2017-08-09
8;2017-05-22/2017-05-30
10;2017-04-25/2017-05-05
11;2017-03-20/2017-03-31
23;2016-10-26/2016-11-18
95;2015-11-21/2016-02-24
134;2015-07-10/2015-11-21
75;2015-04-26/2015-07-10
43;2014-09-07/2014-10-20
14;2014-03-11/2014-03-25
12;2013-11-07/2013-11-19
15;2014-01-19/2014-02-03
16;2013-12-02/2013-12-18
21;2013-09-06/2013-09-27
