id,date,event,creator_login
813838875,2016-10-05 20:15:22,mentioned,sebmarkbage
813838876,2016-10-05 20:15:22,subscribed,sebmarkbage
837971657,2016-10-27 01:57:46,mentioned,sebmarkbage
837971658,2016-10-27 01:57:46,subscribed,sebmarkbage
880812566,2016-12-03 01:57:32,mentioned,sebmarkbage
880812568,2016-12-03 01:57:32,subscribed,sebmarkbage
1745867001,2018-07-21 00:09:21,mentioned,sebmarkbage
1745867002,2018-07-21 00:09:21,subscribed,sebmarkbage
714809950,2016-07-06 19:27:11,closed,sebmarkbage
246497050,2015-03-05 02:41:44,mentioned,sebmarkbage
246497051,2015-03-05 02:41:44,subscribed,sebmarkbage
234135912,2015-02-11 18:32:27,mentioned,sebmarkbage
234135913,2015-02-11 18:32:27,subscribed,sebmarkbage
234511619,2015-02-12 08:27:58,mentioned,sebmarkbage
234511620,2015-02-12 08:27:58,subscribed,sebmarkbage
