id,date,event,creator_login
109820463,2014-04-08 18:34:12,referenced,benjamn
79302048,2013-12-03 13:53:21,referenced,benjamn
72126191,2013-10-24 17:59:16,referenced,benjamn
68997882,2013-10-07 15:14:17,closed,benjamn
69701077,2013-10-10 17:01:06,closed,benjamn
69729879,2013-10-10 19:09:38,closed,benjamn
69956266,2013-10-11 20:25:31,closed,benjamn
70725064,2013-10-16 22:55:33,closed,benjamn
68839582,2013-10-05 15:31:30,subscribed,petehunt
68839581,2013-10-05 15:31:30,mentioned,petehunt
71685582,2013-10-22 19:37:04,closed,benjamn
145646503,2014-07-25 15:26:47,closed,benjamn
69034765,2013-10-07 17:51:10,closed,benjamn
69014890,2013-10-07 16:25:57,closed,benjamn
69224984,2013-10-08 15:03:35,closed,benjamn
69906739,2013-10-11 16:21:09,closed,benjamn
71477789,2013-10-21 21:44:48,referenced,benjamn
71477434,2013-10-21 21:43:03,closed,benjamn
73536373,2013-11-01 14:41:43,referenced,benjamn
72372610,2013-10-25 19:44:09,closed,benjamn
660988409,2016-05-15 15:08:20,referenced,benjamn
163985150,2014-09-11 01:11:45,referenced,benjamn
162043993,2014-09-06 01:29:42,closed,benjamn
71734226,2013-10-22 23:35:26,subscribed,benjamn
71734225,2013-10-22 23:35:26,mentioned,benjamn
145646504,2014-07-25 15:26:47,closed,benjamn
71836911,2013-10-23 13:58:30,closed,benjamn
71836909,2013-10-23 13:58:30,merged,benjamn
71836908,2013-10-23 13:58:30,referenced,benjamn
71733746,2013-10-22 23:32:11,closed,benjamn
71733745,2013-10-22 23:32:11,merged,benjamn
71733744,2013-10-22 23:32:11,referenced,benjamn
71871225,2013-10-23 16:13:14,referenced,benjamn
71739823,2013-10-23 00:11:22,closed,benjamn
71739816,2013-10-23 00:11:22,referenced,benjamn
125390395,2014-05-28 03:20:07,closed,benjamn
82474792,2013-12-19 01:06:03,subscribed,benjamn
82474791,2013-12-19 01:06:03,mentioned,benjamn
71871226,2013-10-23 16:13:14,referenced,benjamn
71869776,2013-10-23 16:07:26,closed,benjamn
71869773,2013-10-23 16:07:26,merged,benjamn
71869772,2013-10-23 16:07:26,referenced,benjamn
71843329,2013-10-23 14:25:11,referenced,benjamn
71841893,2013-10-23 14:19:39,referenced,benjamn
71836381,2013-10-23 13:56:05,closed,benjamn
71836379,2013-10-23 13:56:05,merged,benjamn
71836378,2013-10-23 13:56:05,referenced,benjamn
71792381,2013-10-23 09:20:48,unsubscribed,benjamn
71791598,2013-10-23 09:15:29,subscribed,benjamn
71791597,2013-10-23 09:15:29,mentioned,benjamn
71861491,2013-10-23 15:35:26,closed,benjamn
71844003,2013-10-23 14:27:51,closed,benjamn
71844002,2013-10-23 14:27:51,merged,benjamn
71844001,2013-10-23 14:27:51,referenced,benjamn
71841186,2013-10-23 14:16:45,subscribed,benjamn
71841185,2013-10-23 14:16:45,mentioned,benjamn
71849029,2013-10-23 14:48:58,closed,benjamn
71849028,2013-10-23 14:48:58,merged,benjamn
71849027,2013-10-23 14:48:58,referenced,benjamn
71903083,2013-10-23 18:27:49,subscribed,benjamn
71903082,2013-10-23 18:27:49,mentioned,benjamn
72091379,2013-10-24 15:26:59,closed,benjamn
72091378,2013-10-24 15:26:59,merged,benjamn
72091377,2013-10-24 15:26:59,referenced,benjamn
72105081,2013-10-24 16:24:52,closed,benjamn
