id,date,event,creator_login
4834825,2011-10-31 03:42:46,subscribed,vmg
5130970,2011-11-07 21:27:41,subscribed,vmg
16205234,2012-05-24 17:11:09,subscribed,aroben
87416146,2014-01-20 23:09:40,subscribed,tnm
324179074,2015-06-06 05:25:00,closed,bkeepers
324178360,2015-06-06 05:23:50,closed,bkeepers
325542624,2015-06-08 17:59:35,closed,bkeepers
324171493,2015-06-06 05:08:40,closed,bkeepers
324167858,2015-06-06 04:59:10,labeled,bkeepers
324127783,2015-06-06 02:11:09,subscribed,bkeepers
653108861,2016-05-06 20:21:02,subscribed,bkeepers
653108860,2016-05-06 20:21:02,mentioned,bkeepers
652836621,2016-05-06 16:07:54,subscribed,bkeepers
