id,date,creator_login
301673056,2017-05-16 04:35:22,adamdbradley
301109492,2017-05-12 15:32:41,jgw96
301106844,2017-05-12 15:23:04,jgw96
300980029,2017-05-12 04:20:30,adamdbradley
304054869,2017-05-25 16:25:49,jgw96
300881844,2017-05-11 18:46:03,jgw96
300880301,2017-05-11 18:40:17,brandyscarney
300875907,2017-05-11 18:24:07,jgw96
301187379,2017-05-12 21:13:21,jgw96
304364685,2017-05-26 19:08:17,adamdbradley
303768721,2017-05-24 15:56:15,jthoms1
302748853,2017-05-19 16:24:48,brandyscarney
303751176,2017-05-24 15:00:07,adamdbradley
304365594,2017-05-26 19:12:51,brandyscarney
321624375,2017-08-10 17:47:22,brandyscarney
304362667,2017-05-26 18:58:42,brandyscarney
304941805,2017-05-30 16:57:55,jgw96
304329628,2017-05-26 16:37:39,jgw96
304399344,2017-05-26 22:17:39,brandyscarney
304922292,2017-05-30 15:49:29,brandyscarney
309056940,2017-06-16 15:28:26,adamdbradley
305620036,2017-06-01 21:04:37,brandyscarney
309059033,2017-06-16 15:36:16,brandyscarney
321624476,2017-08-10 17:47:42,brandyscarney
308762748,2017-06-15 15:03:13,brandyscarney
308529231,2017-06-14 19:09:11,brandyscarney
310918464,2017-06-25 18:11:38,mlynch
310916657,2017-06-25 17:39:16,mlynch
311466522,2017-06-27 19:53:04,mlynch
311459819,2017-06-27 19:26:27,adamdbradley
311459663,2017-06-27 19:25:44,brandyscarney
311238543,2017-06-27 02:54:40,adamdbradley
322565754,2017-08-15 19:33:46,jgw96
312170471,2017-06-30 04:13:12,mlynch
312158588,2017-06-30 02:30:28,mlynch
312326090,2017-06-30 17:25:12,jgw96
318461165,2017-07-27 19:21:40,brandyscarney
336276373,2017-10-12 21:26:21,adamdbradley
325408111,2017-08-28 16:46:19,brandyscarney
324452710,2017-08-23 20:27:38,jgw96
316087862,2017-07-18 14:47:46,mlynch
316832136,2017-07-20 21:14:49,mlynch
316827935,2017-07-20 20:58:06,mlynch
317870838,2017-07-25 21:00:42,jgw96
321349952,2017-08-09 18:59:31,adamdbradley
329946819,2017-09-16 05:21:05,adamdbradley
321350316,2017-08-09 19:00:50,jgw96
340123934,2017-10-28 00:02:57,adamdbradley
321877764,2017-08-11 17:51:56,brandyscarney
321871189,2017-08-11 17:24:08,adamdbradley
322833342,2017-08-16 16:52:25,brandyscarney
324321271,2017-08-23 12:56:48,jthoms1
324451945,2017-08-23 20:24:33,jgw96
324451511,2017-08-23 20:22:48,jgw96
326464550,2017-09-01 01:39:11,adamdbradley
324449800,2017-08-23 20:16:12,jgw96
326183415,2017-08-31 04:02:01,adamdbradley
324449530,2017-08-23 20:15:00,jgw96
325875708,2017-08-30 04:17:57,adamdbradley
325798549,2017-08-29 20:45:28,jgw96
329946682,2017-09-16 05:17:01,adamdbradley
328141903,2017-09-08 15:51:45,jgw96
325771990,2017-08-29 19:27:46,jgw96
325717174,2017-08-29 16:21:01,jgw96
328868864,2017-09-12 14:23:59,jgw96
327213102,2017-09-05 15:31:17,jgw96
329946229,2017-09-16 05:04:13,adamdbradley
327237142,2017-09-05 16:52:15,jgw96
324840297,2017-08-25 07:03:52,mlynch
325719621,2017-08-29 16:29:35,jgw96
325722576,2017-08-29 16:40:31,jgw96
326465097,2017-09-01 01:43:15,adamdbradley
325913493,2017-08-30 07:58:26,adamdbradley
324838670,2017-08-25 06:54:10,mlynch
324838386,2017-08-25 06:52:21,mlynch
324798496,2017-08-25 01:17:49,kensodemann
332554333,2017-09-27 15:11:19,jthoms1
326464111,2017-09-01 01:35:53,adamdbradley
325723441,2017-08-29 16:43:35,jgw96
325919438,2017-08-30 08:23:13,adamdbradley
325914851,2017-08-30 08:03:59,adamdbradley
326115179,2017-08-30 20:49:47,mhartington
325766700,2017-08-29 19:13:54,jgw96
325770707,2017-08-29 19:24:57,jgw96
325773079,2017-08-29 19:30:22,jgw96
329947189,2017-09-16 05:30:33,adamdbradley
329946996,2017-09-16 05:26:33,adamdbradley
325768174,2017-08-29 19:17:53,jgw96
325769209,2017-08-29 19:21:16,jgw96
326104294,2017-08-30 20:08:39,adamdbradley
326312790,2017-08-31 14:28:09,adamdbradley
326177279,2017-08-31 03:10:55,adamdbradley
326478409,2017-09-01 03:30:31,adamdbradley
332552680,2017-09-27 15:06:16,jthoms1
327306597,2017-09-05 21:19:01,adamdbradley
326177175,2017-08-31 03:10:04,adamdbradley
326400232,2017-08-31 19:40:57,brandyscarney
326784499,2017-09-03 04:57:29,adamdbradley
327259665,2017-09-05 18:17:59,adamdbradley
327208905,2017-09-05 15:18:09,jgw96
327257912,2017-09-05 18:11:30,adamdbradley
327204222,2017-09-05 15:03:33,jgw96
