id,date,event,creator_login
766514676,2016-08-24 19:51:29,subscribed,rvagg
766514675,2016-08-24 19:51:29,mentioned,rvagg
765335784,2016-08-24 00:58:39,closed,rvagg
765335783,2016-08-24 00:58:39,merged,rvagg
765335782,2016-08-24 00:58:39,referenced,rvagg
765335451,2016-08-24 00:58:09,subscribed,Trott
765335450,2016-08-24 00:58:09,mentioned,Trott
781428214,2016-09-07 19:37:09,closed,Trott
781428212,2016-09-07 19:37:09,merged,Trott
781428211,2016-09-07 19:37:09,referenced,Trott
774120436,2016-08-31 19:02:44,renamed,Trott
774119867,2016-08-31 19:02:26,head_ref_force_pushed,Trott
805765290,2016-09-28 17:01:22,closed,Trott
805765288,2016-09-28 17:01:22,merged,Trott
805765286,2016-09-28 17:01:22,referenced,Trott
820786434,2016-10-12 10:37:06,closed,rvagg
851068772,2016-11-08 07:13:32,closed,rvagg
920602800,2017-01-12 11:50:35,closed,rvagg
920602799,2017-01-12 11:50:35,merged,rvagg
920602798,2017-01-12 11:50:35,referenced,rvagg
920603279,2017-01-12 11:51:00,closed,rvagg
920603275,2017-01-12 11:51:00,merged,rvagg
920603274,2017-01-12 11:51:00,referenced,rvagg
974255725,2017-02-23 12:13:28,closed,rvagg
974255555,2017-02-23 12:13:18,closed,rvagg
959110573,2017-02-13 07:13:21,head_ref_force_pushed,Trott
1047752443,2017-04-19 02:33:17,closed,rvagg
1047752369,2017-04-19 02:33:10,subscribed,jasnell
1047752368,2017-04-19 02:33:10,mentioned,jasnell
1047752365,2017-04-19 02:33:10,subscribed,Trott
1047752364,2017-04-19 02:33:10,mentioned,Trott
1118672728,2017-06-11 22:52:52,closed,Trott
1118672727,2017-06-11 22:52:52,merged,Trott
1118672726,2017-06-11 22:52:52,referenced,Trott
1118676499,2017-06-11 23:09:44,closed,Trott
1118676498,2017-06-11 23:09:44,merged,Trott
1118676497,2017-06-11 23:09:44,referenced,Trott
1118716613,2017-06-12 01:27:15,closed,Trott
1118716612,2017-06-12 01:27:15,merged,Trott
1118716611,2017-06-12 01:27:15,referenced,Trott
1150240896,2017-07-05 04:50:23,closed,Trott
1150240895,2017-07-05 04:50:23,merged,Trott
1150240894,2017-07-05 04:50:23,referenced,Trott
1150240819,2017-07-05 04:50:17,subscribed,mhdawson
1150240818,2017-07-05 04:50:17,mentioned,mhdawson
1165472744,2017-07-16 03:55:49,closed,Trott
1165472743,2017-07-16 03:55:49,merged,Trott
1165472742,2017-07-16 03:55:49,referenced,Trott
1210450396,2017-08-17 16:12:30,subscribed,rvagg
1210450394,2017-08-17 16:12:30,mentioned,rvagg
1209404856,2017-08-17 03:07:48,subscribed,jasnell
1209404855,2017-08-17 03:07:48,mentioned,jasnell
1209404854,2017-08-17 03:07:48,subscribed,Trott
1209404853,2017-08-17 03:07:48,mentioned,Trott
1291312427,2017-10-12 23:01:23,closed,rvagg
1287311001,2017-10-11 03:10:29,referenced,rvagg
1268085449,2017-09-27 15:53:34,closed,Trott
1268085447,2017-09-27 15:53:34,merged,Trott
1268085446,2017-09-27 15:53:34,referenced,Trott
1291312526,2017-10-12 23:01:27,head_ref_deleted,rvagg
1291312525,2017-10-12 23:01:27,closed,rvagg
1392627577,2017-12-18 17:57:38,subscribed,Trott
1392627576,2017-12-18 17:57:38,mentioned,Trott
1389925979,2017-12-15 16:31:40,closed,Trott
1389925978,2017-12-15 16:31:40,merged,Trott
1389925977,2017-12-15 16:31:40,referenced,Trott
1389879697,2017-12-15 16:05:40,subscribed,Trott
1389879696,2017-12-15 16:05:40,mentioned,Trott
1310616939,2017-10-25 19:42:51,subscribed,rvagg
1310616938,2017-10-25 19:42:51,mentioned,rvagg
1310604403,2017-10-25 19:35:09,subscribed,rvagg
1310604402,2017-10-25 19:35:09,mentioned,rvagg
1373718863,2017-12-05 22:54:08,referenced,rvagg
1373718838,2017-12-05 22:54:07,closed,rvagg
1371937903,2017-12-05 05:28:40,referenced,rvagg
1373722403,2017-12-05 22:56:39,subscribed,mhdawson
1373722401,2017-12-05 22:56:39,mentioned,mhdawson
1373720820,2017-12-05 22:55:31,subscribed,Trott
1373720819,2017-12-05 22:55:31,mentioned,Trott
1373718970,2017-12-05 22:54:12,head_ref_deleted,rvagg
1373718847,2017-12-05 22:54:07,closed,rvagg
1373718835,2017-12-05 22:54:07,merged,rvagg
1373718833,2017-12-05 22:54:07,referenced,rvagg
1412161642,2018-01-05 23:38:49,closed,Trott
1412161640,2018-01-05 23:38:49,merged,Trott
1412161639,2018-01-05 23:38:49,referenced,Trott
1412162189,2018-01-05 23:39:29,closed,Trott
1526892474,2018-03-17 16:05:05,closed,Trott
1526892472,2018-03-17 16:05:05,merged,Trott
1526892471,2018-03-17 16:05:04,referenced,Trott
1504951836,2018-03-05 19:47:51,subscribed,mhdawson
1504951834,2018-03-05 19:47:51,mentioned,mhdawson
2256055298,2019-04-05 14:51:34,referenced,mhdawson
2256052037,2019-04-05 14:50:30,closed,mhdawson
2256052029,2019-04-05 14:50:29,merged,mhdawson
2256052027,2019-04-05 14:50:29,referenced,mhdawson
2254228907,2019-04-04 21:18:46,subscribed,rvagg
2254228906,2019-04-04 21:18:46,mentioned,rvagg
