id,date,event,creator_login
1571331048,2018-04-12 15:43:13,referenced,targos
1526971731,2018-03-17 19:39:42,referenced,targos
742020109,2016-08-02 07:50:16,closed,targos
597617777,2016-03-21 19:02:34,mentioned,targos
597617778,2016-03-21 19:02:34,subscribed,targos
589031572,2016-03-14 17:06:42,mentioned,targos
589031573,2016-03-14 17:06:42,subscribed,targos
554014059,2016-02-17 18:51:09,subscribed,targos
547517298,2016-02-11 18:01:00,subscribed,targos
550901122,2016-02-15 16:27:44,subscribed,targos
555320861,2016-02-18 16:21:13,subscribed,targos
