id,date,event,creator_login
1247941288,2017-09-13 19:39:41,subscribed,indutny
1247939991,2017-09-13 19:38:53,subscribed,indutny
1167584839,2017-07-18 03:13:34,subscribed,indutny
1167585075,2017-07-18 03:13:53,subscribed,indutny
964814694,2017-02-16 11:23:52,subscribed,indutny
964875746,2017-02-16 12:13:59,subscribed,indutny
964971914,2017-02-16 13:31:26,subscribed,indutny
1068872937,2017-05-04 13:00:20,subscribed,indutny
781745436,2016-09-08 01:01:40,subscribed,indutny
769102589,2016-08-26 15:56:00,subscribed,indutny
950556821,2017-02-06 16:11:01,subscribed,indutny
952940356,2017-02-07 22:34:56,mentioned,indutny
952940357,2017-02-07 22:34:56,subscribed,indutny
753039544,2016-08-11 18:05:22,subscribed,indutny
753043219,2016-08-11 18:08:12,subscribed,indutny
753056148,2016-08-11 18:18:32,mentioned,indutny
753056149,2016-08-11 18:18:32,subscribed,indutny
754280848,2016-08-12 17:22:17,mentioned,indutny
754280849,2016-08-12 17:22:17,subscribed,indutny
704575330,2016-06-27 07:37:35,subscribed,indutny
708758459,2016-06-30 07:08:31,subscribed,indutny
708758545,2016-06-30 07:08:31,subscribed,indutny
680718237,2016-06-03 05:33:29,subscribed,indutny
680718259,2016-06-03 05:33:29,subscribed,indutny
681641501,2016-06-03 20:49:19,mentioned,indutny
681641502,2016-06-03 20:49:19,subscribed,indutny
789812006,2016-09-14 20:54:34,referenced,indutny
789812276,2016-09-14 20:54:46,closed,indutny
789812331,2016-09-14 20:54:48,head_ref_deleted,indutny
678657497,2016-06-01 16:15:58,subscribed,indutny
710865539,2016-07-01 19:19:17,subscribed,indutny
678643838,2016-06-01 16:06:02,subscribed,indutny
679294832,2016-06-02 03:30:17,mentioned,indutny
679294833,2016-06-02 03:30:17,subscribed,indutny
679298777,2016-06-02 03:38:09,subscribed,indutny
679300152,2016-06-02 03:40:51,subscribed,indutny
679440373,2016-06-02 07:44:42,mentioned,indutny
679440374,2016-06-02 07:44:42,subscribed,indutny
767980207,2016-08-25 19:53:51,subscribed,indutny
879551486,2016-12-02 05:41:50,subscribed,indutny
879962823,2016-12-02 13:16:22,subscribed,indutny
643600068,2016-04-27 22:43:35,subscribed,indutny
708750265,2016-06-30 06:57:52,subscribed,indutny
708750343,2016-06-30 06:57:53,subscribed,indutny
789803369,2016-09-14 20:48:34,subscribed,indutny
791672814,2016-09-16 05:17:22,mentioned,indutny
791672815,2016-09-16 05:17:22,subscribed,indutny
791672828,2016-09-16 05:17:22,subscribed,indutny
794675995,2016-09-19 20:36:18,mentioned,indutny
794675996,2016-09-19 20:36:18,subscribed,indutny
794676019,2016-09-19 20:36:18,subscribed,indutny
798045358,2016-09-21 21:36:10,mentioned,indutny
798045359,2016-09-21 21:36:10,subscribed,indutny
627743468,2016-04-14 17:44:37,subscribed,indutny
585352824,2016-03-10 19:10:28,subscribed,indutny
549076797,2016-02-12 21:17:39,mentioned,indutny
549076798,2016-02-12 21:17:39,subscribed,indutny
517694137,2016-01-18 09:23:31,subscribed,indutny
525468074,2016-01-25 19:50:37,mentioned,indutny
525468075,2016-01-25 19:50:37,subscribed,indutny
512213528,2016-01-12 10:21:09,closed,indutny
514400087,2016-01-14 00:14:57,mentioned,indutny
514400088,2016-01-14 00:14:57,subscribed,indutny
733774508,2016-07-25 16:27:51,head_ref_deleted,indutny
495329299,2015-12-18 00:20:43,mentioned,indutny
495329300,2015-12-18 00:20:43,subscribed,indutny
495329305,2015-12-18 00:20:43,subscribed,indutny
495329320,2015-12-18 00:20:43,subscribed,indutny
