id,date,event,creator_login
1247941312,2017-09-13 19:39:41,subscribed,targos
1247940028,2017-09-13 19:38:54,subscribed,targos
1167584858,2017-07-18 03:13:34,subscribed,targos
1167585104,2017-07-18 03:13:53,subscribed,targos
964814712,2017-02-16 11:23:52,subscribed,targos
964875770,2017-02-16 12:13:59,subscribed,targos
964971971,2017-02-16 13:31:27,subscribed,targos
1068872961,2017-05-04 13:00:20,subscribed,targos
939910386,2017-01-27 21:08:58,mentioned,targos
939910388,2017-01-27 21:08:58,subscribed,targos
950556861,2017-02-06 16:11:01,subscribed,targos
952940333,2017-02-07 22:34:56,mentioned,targos
952940334,2017-02-07 22:34:56,subscribed,targos
1064599263,2017-05-01 21:58:28,mentioned,targos
1064599264,2017-05-01 21:58:28,subscribed,targos
1065031698,2017-05-02 07:33:18,review_dismissed,targos
1065079193,2017-05-02 08:03:52,mentioned,targos
1065079194,2017-05-02 08:03:52,subscribed,targos
753039584,2016-08-11 18:05:23,subscribed,targos
704575370,2016-06-27 07:37:35,subscribed,targos
708758497,2016-06-30 07:08:31,subscribed,targos
680718293,2016-06-03 05:33:29,subscribed,targos
678657534,2016-06-01 16:15:58,subscribed,targos
678643875,2016-06-01 16:06:03,subscribed,targos
767980247,2016-08-25 19:53:52,subscribed,targos
708750295,2016-06-30 06:57:53,subscribed,targos
526034492,2016-01-26 05:48:56,head_ref_deleted,targos
