id,date,creator_login
3642773,2012-03-14 03:57:03,rvagg
3676892,2012-03-16 02:46:49,rvagg
4038322,2012-04-10 00:22:42,rvagg
5486249,2012-07-08 11:50:38,rvagg
10145381,2013-01-21 03:31:29,rvagg
11602338,2013-03-04 02:04:54,rvagg
12908865,2013-04-08 05:18:03,rvagg
15489069,2013-06-13 05:20:34,rvagg
15601652,2013-06-16 07:03:56,rvagg
16351425,2013-07-04 04:20:45,rvagg
16426014,2013-07-06 03:09:21,rvagg
16441161,2013-07-07 10:01:06,rvagg
17026492,2013-07-21 23:47:53,rvagg
17293847,2013-07-27 05:22:24,rvagg
20992108,2013-10-15 01:33:52,rvagg
21001930,2013-10-15 08:08:24,rvagg
23202917,2013-11-24 10:12:51,rvagg
23608908,2013-12-02 23:05:54,rvagg
25288009,2014-01-09 02:41:43,rvagg
30461690,2014-03-30 08:52:37,rvagg
39882947,2014-08-09 10:39:57,rvagg
44777307,2014-10-03 07:15:19,rvagg
93776890,2015-07-08 12:29:39,rvagg
