id,date,event,creator_login
1978326562,2018-11-20 19:51:56,referenced,rafaelfranca
1978326565,2018-11-20 19:51:56,merged,rafaelfranca
1978326570,2018-11-20 19:51:56,closed,rafaelfranca
1978350060,2018-11-20 20:03:10,mentioned,rafaelfranca
1978350061,2018-11-20 20:03:10,subscribed,rafaelfranca
1921719549,2018-10-23 20:59:19,referenced,rafaelfranca
1921719551,2018-10-23 20:59:19,merged,rafaelfranca
1921719552,2018-10-23 20:59:19,closed,rafaelfranca
1715290081,2018-07-04 01:16:25,mentioned,rafaelfranca
1715290082,2018-07-04 01:16:25,subscribed,rafaelfranca
1716826746,2018-07-04 19:12:41,closed,rafaelfranca
1586468175,2018-04-20 15:42:36,closed,rafaelfranca
1474302522,2018-02-14 17:28:49,referenced,rafaelfranca
1474302525,2018-02-14 17:28:49,merged,rafaelfranca
1474302527,2018-02-14 17:28:49,closed,rafaelfranca
1741030221,2018-07-18 20:06:56,closed,rafaelfranca
1742258163,2018-07-19 10:57:03,mentioned,rafaelfranca
1742258164,2018-07-19 10:57:03,subscribed,rafaelfranca
1743493937,2018-07-19 20:43:10,referenced,rafaelfranca
1743493942,2018-07-19 20:43:11,merged,rafaelfranca
1743493967,2018-07-19 20:43:11,closed,rafaelfranca
1807668427,2018-08-24 13:32:37,mentioned,rafaelfranca
1807668428,2018-08-24 13:32:37,subscribed,rafaelfranca
1104778217,2017-05-31 19:06:15,closed,rafaelfranca
1020767870,2017-03-29 16:28:35,referenced,rafaelfranca
1020767872,2017-03-29 16:28:35,merged,rafaelfranca
1020767874,2017-03-29 16:28:35,closed,rafaelfranca
1641802006,2018-05-23 13:32:09,mentioned,rafaelfranca
1641802007,2018-05-23 13:32:09,subscribed,rafaelfranca
1743493956,2018-07-19 20:43:11,closed,rafaelfranca
1743494019,2018-07-19 20:43:12,referenced,rafaelfranca
848627238,2016-11-04 23:36:38,closed,rafaelfranca
447464384,2015-10-28 00:15:08,closed,rafaelfranca
214789016,2015-01-06 17:08:56,mentioned,rafaelfranca
214789017,2015-01-06 17:08:56,subscribed,rafaelfranca
214984562,2015-01-06 22:40:24,referenced,rafaelfranca
214984563,2015-01-06 22:40:24,merged,rafaelfranca
214984564,2015-01-06 22:40:24,closed,rafaelfranca
214454856,2015-01-06 01:28:56,mentioned,rafaelfranca
214454857,2015-01-06 01:28:56,subscribed,rafaelfranca
214455208,2015-01-06 01:30:12,referenced,rafaelfranca
214455209,2015-01-06 01:30:12,merged,rafaelfranca
214455210,2015-01-06 01:30:12,closed,rafaelfranca
183701622,2014-10-25 23:06:51,closed,rafaelfranca
117134967,2014-05-01 22:24:58,referenced,rafaelfranca
117134968,2014-05-01 22:24:58,merged,rafaelfranca
117134969,2014-05-01 22:24:58,closed,rafaelfranca
92997933,2014-02-12 16:43:14,referenced,rafaelfranca
92997934,2014-02-12 16:43:14,merged,rafaelfranca
92997935,2014-02-12 16:43:14,closed,rafaelfranca
447465067,2015-10-28 00:16:23,closed,rafaelfranca
83773109,2013-12-31 11:13:39,mentioned,rafaelfranca
83773110,2013-12-31 11:13:39,subscribed,rafaelfranca
83773768,2013-12-31 11:25:19,mentioned,rafaelfranca
83773769,2013-12-31 11:25:19,subscribed,rafaelfranca
83872897,2014-01-02 01:27:55,closed,rafaelfranca
73419276,2013-10-31 20:42:08,referenced,rafaelfranca
73419277,2013-10-31 20:42:08,merged,rafaelfranca
73419278,2013-10-31 20:42:08,closed,rafaelfranca
54755649,2013-07-01 13:46:45,closed,rafaelfranca
40383448,2013-03-06 15:05:33,referenced,rafaelfranca
40383449,2013-03-06 15:05:33,merged,rafaelfranca
40383450,2013-03-06 15:05:33,closed,rafaelfranca
39682871,2013-02-28 21:45:48,closed,rafaelfranca
37375315,2013-02-11 07:56:24,mentioned,rafaelfranca
37375316,2013-02-11 07:56:24,subscribed,rafaelfranca
39724334,2013-03-01 03:50:46,mentioned,rafaelfranca
39724335,2013-03-01 03:50:46,subscribed,rafaelfranca
