"[36, '2014-10-27/2014-12-02']","['h', 33, '2014-10-27/2014-11-29']"
"[160, '2014-12-02/2015-05-11']","['h', 95, '2014-12-02/2015-03-07']","['sot', 65, '2015-03-07/2015-05-11']"
"[55, '2015-09-13/2015-11-07']","['sot', 55, '2015-09-13/2015-11-07']"
"[12, '2016-05-24/2016-06-05']","['sot', 12, '2016-05-24/2016-06-05']"
"[19, '2016-06-07/2016-06-26']","['sot', 19, '2016-06-07/2016-06-26']"
"[44, '2016-07-22/2016-09-04']","['sot', 44, '2016-07-22/2016-09-04']"
"[44, '2016-10-05/2016-11-18']","['sot', 44, '2016-10-05/2016-11-18']"
"[18, '2016-12-28/2017-01-15']","['sot', 18, '2016-12-28/2017-01-15']"
"[11, '2017-02-06/2017-02-17']","['sot', 11, '2017-02-06/2017-02-17']"
"[7, '2017-04-24/2017-05-01']","['sot', 7, '2017-04-24/2017-05-01']"
"[7, '2017-05-31/2017-06-07']","['sot', 7, '2017-05-31/2017-06-07']"
"[8, '2017-06-09/2017-06-17']","['sot', 8, '2017-06-09/2017-06-17']"
"[24, '2017-07-13/2017-08-06']","['sot', 24, '2017-07-13/2017-08-06']"
"[20, '2017-08-23/2017-09-12']","['sot', 20, '2017-08-23/2017-09-12']"
"[13, '2017-09-29/2017-10-12']","['sot', 13, '2017-09-29/2017-10-12']"
"[10, '2017-11-12/2017-11-22']","['sot', 10, '2017-11-12/2017-11-22']"
"[10, '2017-12-13/2017-12-23']","['sot', 10, '2017-12-13/2017-12-23']"
"[7, '2018-01-21/2018-01-28']","['sot', 7, '2018-01-21/2018-01-28']"
"[11, '2018-04-15/2018-04-26']","['sot', 11, '2018-04-15/2018-04-26']"
"[23, '2018-09-23/2018-10-16']","['sot', 23, '2018-09-23/2018-10-16']"
"[27, '2018-11-20/2018-12-17']","['sot', 27, '2018-11-20/2018-12-17']"
"[33, '2019-05-05/2019-06-07']","['sot', 33, '2019-05-05/2019-06-07']"
