durations,datelimits
10.0,2015-06-05/2015-06-15
10.0,2015-06-20/2015-06-30
5.0,2015-08-07/2015-08-12
5.0,2015-08-20/2015-08-25
6.0,2015-10-10/2015-10-16
11.0,2015-10-27/2015-11-07
6.0,2015-11-18/2015-11-24
9.0,2015-11-27/2015-12-06
23.0,2015-12-14/2016-01-06
19.0,2016-01-08/2016-01-27
33.0,2016-04-01/2016-05-04
12.0,2016-02-12/2016-02-24
9.0,2016-08-05/2016-08-14
9.0,2016-08-14/2016-08-23
21.0,2016-12-15/2017-01-05
11.0,2017-06-03/2017-06-14
84.0,2017-09-09/2017-12-02
14.0,2017-12-21/2018-01-04
12.0,2018-01-27/2018-02-08
11.0,2018-02-16/2018-02-27
13.0,2018-05-02/2018-05-15
15.0,2018-06-28/2018-07-13
30.0,2018-07-23/2018-08-22
12.0,2019-01-18/2019-01-30
23.0,2019-04-30/2019-05-23
34.0,2019-03-01/2019-04-04
