id,date,event,creator_login
1397340225,2017-12-21 04:43:47,referenced,50Wliu
1397340226,2017-12-21 04:43:47,merged,50Wliu
1397340230,2017-12-21 04:43:47,closed,50Wliu
1397340264,2017-12-21 04:43:49,head_ref_deleted,50Wliu
1397322206,2017-12-21 04:14:00,referenced,50Wliu
1397322207,2017-12-21 04:14:00,merged,50Wliu
1397322208,2017-12-21 04:14:00,closed,50Wliu
1397322242,2017-12-21 04:14:02,head_ref_deleted,50Wliu
1397317321,2017-12-21 04:06:26,referenced,50Wliu
1397317322,2017-12-21 04:06:26,merged,50Wliu
1397317323,2017-12-21 04:06:26,closed,50Wliu
1397317351,2017-12-21 04:06:29,head_ref_deleted,50Wliu
1397340227,2017-12-21 04:43:47,closed,50Wliu
1071920761,2017-05-07 16:13:30,labeled,50Wliu
1390824013,2017-12-16 17:46:31,closed,50Wliu
1014494391,2017-03-24 15:32:44,labeled,50Wliu
1070878191,2017-05-05 16:39:17,mentioned,50Wliu
1070878192,2017-05-05 16:39:17,subscribed,50Wliu
973627887,2017-02-23 01:28:14,referenced,50Wliu
973627888,2017-02-23 01:28:14,merged,50Wliu
973627893,2017-02-23 01:28:14,closed,50Wliu
957756054,2017-02-10 18:47:57,labeled,50Wliu
957756056,2017-02-10 18:47:57,labeled,50Wliu
973627891,2017-02-23 01:28:14,closed,50Wliu
827689585,2016-10-18 15:36:39,labeled,50Wliu
1397323479,2017-12-21 04:15:49,labeled,50Wliu
1398072147,2017-12-21 14:31:34,labeled,50Wliu
1398072149,2017-12-21 14:31:34,unlabeled,50Wliu
688464603,2016-06-10 11:45:17,labeled,50Wliu
688068157,2016-06-10 02:38:32,labeled,50Wliu
688068192,2016-06-10 02:38:36,labeled,50Wliu
675242286,2016-05-28 16:57:21,labeled,50Wliu
675242287,2016-05-28 16:57:21,labeled,50Wliu
660733832,2016-05-14 14:43:32,closed,50Wliu
660733850,2016-05-14 14:43:38,labeled,50Wliu
660733851,2016-05-14 14:43:38,labeled,50Wliu
581981945,2016-03-08 16:39:12,labeled,50Wliu
1342671896,2017-11-15 10:10:24,labeled,50Wliu
1342671898,2017-11-15 10:10:24,labeled,50Wliu
1342671902,2017-11-15 10:10:24,unlabeled,50Wliu
1395389491,2017-12-20 03:40:09,unlabeled,50Wliu
575117914,2016-03-02 18:52:43,closed,50Wliu
575118110,2016-03-02 18:52:53,labeled,50Wliu
575118111,2016-03-02 18:52:53,labeled,50Wliu
523560081,2016-01-22 23:13:45,labeled,50Wliu
1390823846,2017-12-16 17:45:54,closed,50Wliu
514179243,2016-01-13 20:30:01,unlabeled,50Wliu
533130247,2016-01-31 16:08:20,labeled,50Wliu
1390823726,2017-12-16 17:45:40,closed,50Wliu
1390823687,2017-12-16 17:45:29,closed,50Wliu
1397328088,2017-12-21 04:23:15,closed,50Wliu
409821028,2015-09-15 14:01:33,labeled,50Wliu
410088223,2015-09-15 17:56:19,mentioned,50Wliu
410088224,2015-09-15 17:56:19,subscribed,50Wliu
288684817,2015-04-23 20:21:46,labeled,50Wliu
231233445,2015-02-06 03:12:13,labeled,50Wliu
477824196,2015-11-30 15:22:56,labeled,50Wliu
973628171,2017-02-23 01:28:34,closed,50Wliu
1390823597,2017-12-16 17:45:12,closed,50Wliu
