id,date,creator_login
469878718,2019-03-05 22:11:30,50Wliu
470256897,2019-03-06 20:07:38,50Wliu
489647211,2019-05-06 14:44:37,50Wliu
441497941,2018-11-26 02:06:52,50Wliu
328304568,2017-09-09 21:29:38,50Wliu
328307861,2017-09-09 22:45:04,50Wliu
328453579,2017-09-11 08:15:55,50Wliu
326936472,2017-09-04 11:12:54,50Wliu
327300136,2017-09-05 20:53:55,50Wliu
322016076,2017-08-13 01:34:38,50Wliu
322016939,2017-08-13 02:02:57,50Wliu
321722720,2017-08-11 03:00:05,50Wliu
321722728,2017-08-11 03:00:10,50Wliu
321722731,2017-08-11 03:00:14,50Wliu
321806159,2017-08-11 13:01:16,50Wliu
320983623,2017-08-08 15:01:41,50Wliu
320971705,2017-08-08 14:23:59,50Wliu
326303537,2017-08-31 13:57:45,50Wliu
314957914,2017-07-13 03:08:07,50Wliu
314962846,2017-07-13 03:49:52,50Wliu
314957520,2017-07-13 03:05:13,50Wliu
314956266,2017-07-13 02:56:12,50Wliu
309818217,2017-06-20 16:43:46,50Wliu
306870738,2017-06-07 17:42:15,50Wliu
306877747,2017-06-07 18:06:57,50Wliu
314957270,2017-07-13 03:03:25,50Wliu
298248831,2017-04-30 18:34:53,50Wliu
298180679,2017-04-29 16:57:00,50Wliu
298248715,2017-04-30 18:32:36,50Wliu
294985007,2017-04-18 21:15:59,50Wliu
314956911,2017-07-13 03:00:59,50Wliu
285961709,2017-03-12 17:56:13,50Wliu
282184145,2017-02-24 02:16:13,50Wliu
282203924,2017-02-24 04:52:58,50Wliu
277498647,2017-02-05 05:28:37,50Wliu
277285162,2017-02-03 15:57:11,50Wliu
276537221,2017-02-01 00:24:08,50Wliu
282204335,2017-02-24 04:56:43,50Wliu
271644415,2017-01-10 17:42:59,50Wliu
269838531,2016-12-31 00:22:09,50Wliu
266650602,2016-12-13 05:43:03,50Wliu
266346509,2016-12-12 05:29:49,50Wliu
266465262,2016-12-12 15:47:18,50Wliu
266814493,2016-12-13 18:05:47,50Wliu
309192679,2017-06-17 04:29:03,50Wliu
313882502,2017-07-08 21:37:27,50Wliu
315488356,2017-07-14 23:09:23,50Wliu
263381477,2016-11-28 20:15:46,50Wliu
262855392,2016-11-24 23:24:38,50Wliu
260816348,2016-11-16 00:34:45,50Wliu
261122175,2016-11-17 00:56:47,50Wliu
261145094,2016-11-17 03:26:35,50Wliu
277284678,2017-02-03 15:55:21,50Wliu
277297054,2017-02-03 16:40:58,50Wliu
277422767,2017-02-04 06:22:40,50Wliu
262101304,2016-11-21 23:31:48,50Wliu
253958052,2016-10-15 02:47:15,50Wliu
253993180,2016-10-15 16:03:01,50Wliu
254245965,2016-10-17 15:43:23,50Wliu
249399610,2016-09-25 03:00:00,50Wliu
249399973,2016-09-25 03:12:04,50Wliu
249399936,2016-09-25 03:10:53,50Wliu
249399750,2016-09-25 03:05:11,50Wliu
249399800,2016-09-25 03:06:40,50Wliu
249399945,2016-09-25 03:11:08,50Wliu
249400469,2016-09-25 03:29:40,50Wliu
249437068,2016-09-25 18:21:10,50Wliu
250940523,2016-10-01 22:07:16,50Wliu
250993998,2016-10-02 20:34:24,50Wliu
263609551,2016-11-29 15:54:05,50Wliu
264050657,2016-12-01 01:23:09,50Wliu
264072613,2016-12-01 03:57:19,50Wliu
265019261,2016-12-06 00:05:40,50Wliu
248408741,2016-09-20 19:34:45,50Wliu
245605114,2016-09-08 13:55:52,50Wliu
249399988,2016-09-25 03:12:39,50Wliu
249401377,2016-09-25 04:02:08,50Wliu
249425148,2016-09-25 14:35:53,50Wliu
268561483,2016-12-21 16:08:24,50Wliu
244634240,2016-09-04 23:15:32,50Wliu
249400213,2016-09-25 03:20:42,50Wliu
242929616,2016-08-27 17:23:56,50Wliu
249401255,2016-09-25 03:57:37,50Wliu
260140576,2016-11-12 18:47:40,50Wliu
242929646,2016-08-27 17:24:27,50Wliu
249400006,2016-09-25 03:13:21,50Wliu
238967721,2016-08-10 18:56:24,50Wliu
249401300,2016-09-25 03:59:16,50Wliu
237971956,2016-08-05 21:35:55,50Wliu
249400024,2016-09-25 03:14:03,50Wliu
225010591,2016-06-09 20:06:29,50Wliu
226953916,2016-06-18 17:18:10,50Wliu
222392697,2016-05-30 00:46:21,50Wliu
249400320,2016-09-25 03:25:08,50Wliu
282205251,2017-02-24 05:05:14,50Wliu
216974188,2016-05-04 19:27:26,50Wliu
217045434,2016-05-05 00:19:18,50Wliu
215098057,2016-04-27 14:17:25,50Wliu
249400045,2016-09-25 03:14:56,50Wliu
263608986,2016-11-29 15:52:27,50Wliu
349069094,2017-12-04 19:02:23,50Wliu
249400686,2016-09-25 03:36:57,50Wliu
207431663,2016-04-08 13:25:48,50Wliu
226953936,2016-06-18 17:18:28,50Wliu
249400094,2016-09-25 03:16:22,50Wliu
241036741,2016-08-19 14:40:13,50Wliu
188872355,2016-02-25 16:46:22,50Wliu
249401184,2016-09-25 03:55:14,50Wliu
187849244,2016-02-23 19:17:29,50Wliu
249400189,2016-09-25 03:19:41,50Wliu
185703996,2016-02-18 12:41:14,50Wliu
249400606,2016-09-25 03:34:31,50Wliu
176951799,2016-01-29 20:19:21,50Wliu
174339603,2016-01-24 20:40:20,50Wliu
249400823,2016-09-25 03:41:16,50Wliu
317068548,2017-07-21 17:51:33,50Wliu
165169554,2015-12-16 16:39:54,50Wliu
250626192,2016-09-30 00:04:54,50Wliu
252401658,2016-10-08 04:16:03,50Wliu
252455605,2016-10-09 00:13:37,50Wliu
252455941,2016-10-09 00:24:12,50Wliu
225310048,2016-06-10 22:20:58,50Wliu
249400273,2016-09-25 03:23:03,50Wliu
256366448,2016-10-26 14:34:47,50Wliu
340426321,2017-10-30 12:12:40,50Wliu
340442892,2017-10-30 13:26:45,50Wliu
249400334,2016-09-25 03:25:49,50Wliu
249400385,2016-09-25 03:27:05,50Wliu
249400403,2016-09-25 03:27:54,50Wliu
149756232,2015-10-21 01:56:17,50Wliu
249400428,2016-09-25 03:28:35,50Wliu
145404478,2015-10-05 00:23:07,50Wliu
145404702,2015-10-05 00:24:35,50Wliu
160427251,2015-11-29 16:00:19,50Wliu
136731311,2015-09-01 13:58:41,50Wliu
265244104,2016-12-06 19:15:50,50Wliu
239139140,2016-08-11 11:48:23,50Wliu
349071141,2017-12-04 19:08:19,50Wliu
124276896,2015-07-24 00:27:41,50Wliu
123051676,2015-07-20 21:38:58,50Wliu
249400490,2016-09-25 03:30:30,50Wliu
120754690,2015-07-12 19:08:54,50Wliu
113331732,2015-06-19 00:51:43,50Wliu
249400551,2016-09-25 03:32:48,50Wliu
134778068,2015-08-26 00:28:13,50Wliu
135135743,2015-08-26 18:45:29,50Wliu
249400653,2016-09-25 03:36:05,50Wliu
103924426,2015-05-20 15:22:32,50Wliu
249400696,2016-09-25 03:37:17,50Wliu
317069181,2017-07-21 17:53:49,50Wliu
96094359,2015-04-24 23:17:27,50Wliu
265244085,2016-12-06 19:15:44,50Wliu
249400754,2016-09-25 03:39:07,50Wliu
104024034,2015-05-20 20:22:00,50Wliu
249400773,2016-09-25 03:39:44,50Wliu
249400852,2016-09-25 03:42:19,50Wliu
249400879,2016-09-25 03:43:17,50Wliu
284008239,2017-03-03 16:55:46,50Wliu
249400894,2016-09-25 03:43:59,50Wliu
75990840,2015-02-25 16:19:59,50Wliu
259040817,2016-11-08 04:09:51,50Wliu
95326950,2015-04-22 20:33:20,50Wliu
95328710,2015-04-22 20:42:36,50Wliu
98821275,2015-05-04 19:14:45,50Wliu
72097115,2015-01-29 20:22:30,50Wliu
71342123,2015-01-24 23:05:51,50Wliu
155969947,2015-11-12 01:40:44,50Wliu
70586113,2015-01-20 00:42:01,50Wliu
70586952,2015-01-20 00:51:48,50Wliu
72577054,2015-02-03 01:48:13,50Wliu
249399928,2016-09-25 03:10:39,50Wliu
249400921,2016-09-25 03:45:24,50Wliu
136481384,2015-08-31 19:52:01,50Wliu
249400933,2016-09-25 03:45:44,50Wliu
172399281,2016-01-18 00:17:54,50Wliu
273330539,2017-01-17 23:08:48,50Wliu
282184219,2017-02-24 02:16:45,50Wliu
282204008,2017-02-24 04:53:36,50Wliu
233069716,2016-07-15 21:05:16,50Wliu
249897407,2016-09-27 15:20:10,50Wliu
249401076,2016-09-25 03:51:19,50Wliu
249401088,2016-09-25 03:51:40,50Wliu
155969879,2015-11-12 01:40:14,50Wliu
249401104,2016-09-25 03:52:44,50Wliu
249401143,2016-09-25 03:54:19,50Wliu
207431925,2016-04-08 13:26:49,50Wliu
