durations;datelimits
788;2017-04-23/2019-06-20
245;2016-02-05/2016-10-07
33;2016-01-03/2016-02-05
66;2015-10-29/2016-01-03
49;2015-09-10/2015-10-29
19;2015-08-14/2015-09-02
41;2015-06-27/2015-08-07
17;2015-03-10/2015-03-27
12;2015-02-18/2015-03-02
17;2015-01-25/2015-02-11
13;2015-01-02/2015-01-15
7;2014-11-16/2014-11-23
7;2014-09-27/2014-10-04
10;2014-10-06/2014-10-16
14;2014-09-07/2014-09-21
13;2014-06-23/2014-07-06
17;2014-04-22/2014-05-09
52;2014-03-01/2014-04-22
47;2013-08-12/2013-09-28
73;2013-10-28/2014-01-09
