id,date,creator_login
78670121,2015-03-12 22:45:53,josh
78631563,2015-03-12 21:38:13,josh
78631162,2015-03-12 21:37:28,rafaelfranca
78630054,2015-03-12 21:35:14,josh
90164120,2015-04-06 17:30:25,rafaelfranca
311199503,2017-06-26 22:26:02,rafaelfranca
230871839,2016-07-06 19:01:55,rafaelfranca
262933072,2016-11-25 11:02:29,rafaelfranca
267611785,2016-12-16 14:58:12,guilleiguaran
267468431,2016-12-15 22:53:30,rafaelfranca
267422413,2016-12-15 19:37:25,jhawthorn
267376809,2016-12-15 16:43:17,rafaelfranca
267359323,2016-12-15 15:41:13,guilleiguaran
267355429,2016-12-15 15:27:25,guilleiguaran
285585273,2017-03-10 05:57:37,matthewd
268050365,2016-12-19 19:09:49,guilleiguaran
267663189,2016-12-16 18:30:30,guilleiguaran
267611846,2016-12-16 14:58:30,guilleiguaran
267439609,2016-12-15 20:47:35,guilleiguaran
269292410,2016-12-27 08:27:50,matthewd
270992173,2017-01-06 20:01:39,schneems
298481833,2017-05-02 02:23:37,rafaelfranca
291265027,2017-04-03 20:33:14,matthewd
298481437,2017-05-02 02:20:20,rafaelfranca
511633499,2019-07-16 01:56:18,rafaelfranca
367904900,2018-02-23 04:14:02,rafaelfranca
367689887,2018-02-22 14:03:15,guilleiguaran
355821741,2018-01-07 13:08:18,dhh
339119403,2017-10-24 20:23:23,rafaelfranca
