id,date,event,creator_login
15339645,2012-05-12 19:16:11,subscribed,drogus
15347480,2012-05-13 02:37:08,mentioned,drogus
15325409,2012-05-12 08:23:44,subscribed,drogus
15377665,2012-05-14 05:54:58,mentioned,drogus
15378367,2012-05-14 06:18:03,mentioned,drogus
15382908,2012-05-14 08:10:41,mentioned,drogus
15467148,2012-05-15 03:02:48,mentioned,drogus
18252233,2012-06-21 08:51:50,mentioned,drogus
18258612,2012-06-21 10:12:59,mentioned,drogus
18259911,2012-06-21 10:33:13,mentioned,drogus
18934462,2012-06-29 06:47:19,mentioned,drogus
