"[8.0, '2016-02-15/2016-02-23']","['sot', 8, '2016-02-15/2016-02-23']"
"[10.0, '2016-05-06/2016-05-16']","['sot', 10, '2016-05-06/2016-05-16']"
"[28.0, '2016-06-23/2016-07-21']","['sot', 28, '2016-06-23/2016-07-21']"
"[7.0, '2016-08-16/2016-08-23']","['sot', 7, '2016-08-16/2016-08-23']"
"[7.0, '2016-10-06/2016-10-13']","['sot', 7, '2016-10-06/2016-10-13']"
"[8.0, '2016-12-01/2016-12-09']","['sot', 8, '2016-12-01/2016-12-09']"
"[21.0, '2016-12-15/2017-01-05']","['sot', 21, '2016-12-15/2017-01-05']"
"[12.0, '2017-02-18/2017-03-02']","['sot', 12, '2017-02-18/2017-03-02']"
"[8.0, '2017-07-05/2017-07-13']","['sot', 8, '2017-07-05/2017-07-13']"
"[7.0, '2017-08-07/2017-08-14']","['sot', 7, '2017-08-07/2017-08-14']"
"[4.0, '2017-05-27/2017-05-31']","['sot', 4, '2017-05-27/2017-05-31']"
"[6.0, '2017-07-13/2017-07-19']","['sot', 6, '2017-07-13/2017-07-19']"
"[6.0, '2017-08-16/2017-08-22']","['sot', 6, '2017-08-16/2017-08-22']"
"[5.0, '2017-08-23/2017-08-28']","['sot', 5, '2017-08-23/2017-08-28']"
"[6.0, '2017-09-01/2017-09-07']","['sot', 6, '2017-09-01/2017-09-07']"
"[10.0, '2017-10-07/2017-10-17']","['sot', 10, '2017-10-07/2017-10-17']"
"[14.0, '2017-12-21/2018-01-04']","['sot', 14, '2017-12-21/2018-01-04']"
"[21.0, '2018-05-10/2018-05-31']","['sot', 21, '2018-05-10/2018-05-31']"
"[12.0, '2018-09-05/2018-09-17']","['sot', 12, '2018-09-05/2018-09-17']"
"[15.0, '2018-09-23/2018-10-08']","['sot', 15, '2018-09-23/2018-10-08']"
"[21.0, '2018-11-30/2018-12-21']","['sot', 21, '2018-11-30/2018-12-21']"
