"[20.0, '2015-09-04/2015-09-24']","['sot', 20, '2015-09-04/2015-09-24']"
"[19.0, '2015-12-16/2016-01-04']","['sot', 19, '2015-12-16/2016-01-04']"
"[29.0, '2016-06-14/2016-07-13']","['sot', 29, '2016-06-14/2016-07-13']"
"[14.0, '2016-08-30/2016-09-13']","['sot', 14, '2016-08-30/2016-09-13']"
"[35.0, '2016-09-14/2016-10-19']","['sot', 35, '2016-09-14/2016-10-19']"
"[40.0, '2016-12-30/2017-02-08']","['sot', 40, '2016-12-30/2017-02-08']"
"[14.0, '2016-10-19/2016-11-02']","['sot', 14, '2016-10-19/2016-11-02']"
"[14.0, '2016-11-14/2016-11-28']","['sot', 14, '2016-11-14/2016-11-28']"
"[12.0, '2017-03-23/2017-04-04']","['sot', 12, '2017-03-23/2017-04-04']"
"[85.0, '2017-04-26/2017-07-20']","['sot', 44, '2017-04-26/2017-06-09']","['h', 32, '2017-06-20/2017-07-11']"
"[28.0, '2017-08-10/2017-09-07']","['sot', 28, '2017-08-10/2017-09-07']"
"[27.0, '2017-09-07/2017-10-04']","['sot', 27, '2017-09-07/2017-10-04']"
"[27.0, '2017-10-12/2017-11-08']","['sot', 27, '2017-10-12/2017-11-08']"
"[75.0, '2017-11-23/2018-02-06']","['sot', 75, '2017-11-23/2018-02-06']"
"[161.0, '2018-07-13/2018-12-21']","['sot', 161, '2018-07-13/2018-12-21']"
