"[26.0, '2014-10-12/2014-11-07']","['sot', 26, '2014-10-12/2014-11-07']"
"[36.0, '2014-12-09/2015-01-14']","['sot', 36, '2014-12-09/2015-01-14']"
"[49.0, '2015-01-14/2015-03-04']","['sot', 49, '2015-01-14/2015-03-04']"
"[41.0, '2015-03-29/2015-05-09']","['sot', 41, '2015-03-29/2015-05-09']"
"[86.0, '2017-02-08/2017-05-05']","['sot', 86, '2017-02-08/2017-05-05']"
"[61.0, '2017-06-12/2017-08-12']","['sot', 61, '2017-06-12/2017-08-12']"
"[54.0, '2017-09-10/2017-11-03']","['sot', 54, '2017-09-10/2017-11-03']"
"[38.0, '2017-05-05/2017-06-12']","['sot', 38, '2017-05-05/2017-06-12']"
"[23.0, '2017-08-18/2017-09-10']","['sot', 23, '2017-08-18/2017-09-10']"
"[11.0, '2017-11-03/2017-11-14']","['sot', 11, '2017-11-03/2017-11-14']"
"[7.0, '2018-03-18/2018-03-25']","['sot', 7, '2018-03-18/2018-03-25']"
"[8.0, '2018-04-23/2018-05-01']","['sot', 8, '2018-04-23/2018-05-01']"
"[7.0, '2018-05-13/2018-05-20']","['sot', 7, '2018-05-13/2018-05-20']"
"[25.0, '2018-06-25/2018-07-20']","['sot', 25, '2018-06-25/2018-07-20']"
"[19.0, '2018-07-25/2018-08-13']","['sot', 19, '2018-07-25/2018-08-13']"
"[15.0, '2018-10-20/2018-11-04']","['sot', 15, '2018-10-20/2018-11-04']"
